EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GROSTHUIZEN, NETHERLANDS (STAID: 20525)
Blended and updated with sources:501 9354 52478 109316 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 20525,   501,18821201,-9999,    9
 20525,   501,18821202,-9999,    9
 20525,   501,18821203,-9999,    9
 20525,   501,18821204,-9999,    9
 20525,   501,18821205,-9999,    9
 20525,   501,18821206,-9999,    9
 20525,   501,18821207,-9999,    9
 20525,   501,18821208,-9999,    9
 20525,   501,18821209,-9999,    9
 20525,   501,18821210,-9999,    9
 20525,   501,18821211,-9999,    9
 20525,   501,18821212,-9999,    9
 20525,   501,18821213,-9999,    9
 20525,   501,18821214,-9999,    9
 20525,   501,18821215,-9999,    9
 20525,   501,18821216,-9999,    9
 20525,   501,18821217,-9999,    9
 20525,   501,18821218,-9999,    9
 20525,   501,18821219,-9999,    9
 20525,   501,18821220,-9999,    9
 20525,   501,18821221,-9999,    9
 20525,   501,18821222,-9999,    9
 20525,   501,18821223,-9999,    9
 20525,   501,18821224,-9999,    9
 20525,   501,18821225,-9999,    9
 20525,   501,18821226,-9999,    9
 20525,   501,18821227,-9999,    9
 20525,   501,18821228,-9999,    9
 20525,   501,18821229,-9999,    9
 20525,   501,18821230,-9999,    9
 20525,   501,18821231,-9999,    9
 20525,   501,18830101,-9999,    9
 20525,   501,18830102,-9999,    9
 20525,   501,18830103,-9999,    9
 20525,   501,18830104,-9999,    9
 20525,   501,18830105,-9999,    9
 20525,   501,18830106,-9999,    9
 20525,   501,18830107,-9999,    9
 20525,   501,18830108,-9999,    9
 20525,   501,18830109,-9999,    9
 20525,   501,18830110,-9999,    9
 20525,   501,18830111,-9999,    9
 20525,   501,18830112,-9999,    9
 20525,   501,18830113,-9999,    9
 20525,   501,18830114,-9999,    9
 20525,   501,18830115,-9999,    9
 20525,   501,18830116,-9999,    9
 20525,   501,18830117,-9999,    9
 20525,   501,18830118,-9999,    9
 20525,   501,18830119,-9999,    9
 20525,   501,18830120,-9999,    9
 20525,   501,18830121,-9999,    9
 20525,   501,18830122,-9999,    9
 20525,   501,18830123,-9999,    9
 20525,   501,18830124,-9999,    9
 20525,   501,18830125,-9999,    9
 20525,   501,18830126,-9999,    9
 20525,   501,18830127,-9999,    9
 20525,   501,18830128,-9999,    9
 20525,   501,18830129,-9999,    9
 20525,   501,18830130,-9999,    9
 20525,   501,18830131,-9999,    9
 20525,   501,18830201,-9999,    9
 20525,   501,18830202,-9999,    9
 20525,   501,18830203,-9999,    9
 20525,   501,18830204,-9999,    9
 20525,   501,18830205,-9999,    9
 20525,   501,18830206,-9999,    9
 20525,   501,18830207,-9999,    9
 20525,   501,18830208,-9999,    9
 20525,   501,18830209,-9999,    9
 20525,   501,18830210,-9999,    9
 20525,   501,18830211,-9999,    9
 20525,   501,18830212,-9999,    9
 20525,   501,18830213,-9999,    9
 20525,   501,18830214,-9999,    9
 20525,   501,18830215,-9999,    9
 20525,   501,18830216,-9999,    9
 20525,   501,18830217,-9999,    9
 20525,   501,18830218,-9999,    9
 20525,   501,18830219,-9999,    9
 20525,   501,18830220,-9999,    9
 20525,   501,18830221,-9999,    9
 20525,   501,18830222,-9999,    9
 20525,   501,18830223,-9999,    9
 20525,   501,18830224,-9999,    9
 20525,   501,18830225,-9999,    9
 20525,   501,18830226,-9999,    9
 20525,   501,18830227,-9999,    9
 20525,   501,18830228,-9999,    9
 20525,   501,18830301,-9999,    9
 20525,   501,18830302,-9999,    9
 20525,   501,18830303,-9999,    9
 20525,   501,18830304,-9999,    9
 20525,   501,18830305,-9999,    9
 20525,   501,18830306,-9999,    9
 20525,   501,18830307,-9999,    9
 20525,   501,18830308,-9999,    9
 20525,   501,18830309,-9999,    9
 20525,   501,18830310,-9999,    9
 20525,   501,18830311,-9999,    9
 20525,   501,18830312,-9999,    9
 20525,   501,18830313,-9999,    9
 20525,   501,18830314,-9999,    9
 20525,   501,18830315,-9999,    9
 20525,   501,18830316,-9999,    9
 20525,   501,18830317,-9999,    9
 20525,   501,18830318,-9999,    9
 20525,   501,18830319,-9999,    9
 20525,   501,18830320,-9999,    9
 20525,   501,18830321,-9999,    9
 20525,   501,18830322,-9999,    9
 20525,   501,18830323,-9999,    9
 20525,   501,18830324,-9999,    9
 20525,   501,18830325,-9999,    9
 20525,   501,18830326,-9999,    9
 20525,   501,18830327,-9999,    9
 20525,   501,18830328,-9999,    9
 20525,   501,18830329,-9999,    9
 20525,   501,18830330,-9999,    9
 20525,   501,18830331,-9999,    9
 20525,   501,18830401,-9999,    9
 20525,   501,18830402,-9999,    9
 20525,   501,18830403,-9999,    9
 20525,   501,18830404,-9999,    9
 20525,   501,18830405,-9999,    9
 20525,   501,18830406,-9999,    9
 20525,   501,18830407,-9999,    9
 20525,   501,18830408,-9999,    9
 20525,   501,18830409,-9999,    9
 20525,   501,18830410,-9999,    9
 20525,   501,18830411,-9999,    9
 20525,   501,18830412,-9999,    9
 20525,   501,18830413,-9999,    9
 20525,   501,18830414,-9999,    9
 20525,   501,18830415,-9999,    9
 20525,   501,18830416,-9999,    9
 20525,   501,18830417,-9999,    9
 20525,   501,18830418,-9999,    9
 20525,   501,18830419,-9999,    9
 20525,   501,18830420,-9999,    9
 20525,   501,18830421,-9999,    9
 20525,   501,18830422,-9999,    9
 20525,   501,18830423,-9999,    9
 20525,   501,18830424,-9999,    9
 20525,   501,18830425,-9999,    9
 20525,   501,18830426,-9999,    9
 20525,   501,18830427,-9999,    9
 20525,   501,18830428,-9999,    9
 20525,   501,18830429,-9999,    9
 20525,   501,18830430,    0,    0
 20525,   501,18830501,    0,    0
 20525,   501,18830502,    4,    0
 20525,   501,18830503,   11,    0
 20525,   501,18830504,    1,    0
 20525,   501,18830505,    0,    0
 20525,   501,18830506,    0,    0
 20525,   501,18830507,   38,    0
 20525,   501,18830508,   39,    0
 20525,   501,18830509,  132,    0
 20525,   501,18830510,   22,    0
 20525,   501,18830511,    0,    0
 20525,   501,18830512,   34,    0
 20525,   501,18830513,    0,    0
 20525,   501,18830514,  132,    0
 20525,   501,18830515,    0,    0
 20525,   501,18830516,    0,    0
 20525,   501,18830517,    5,    0
 20525,   501,18830518,    0,    0
 20525,   501,18830519,    0,    0
 20525,   501,18830520,    0,    0
 20525,   501,18830521,    0,    0
 20525,   501,18830522,    0,    0
 20525,   501,18830523,    0,    0
 20525,   501,18830524,    0,    0
 20525,   501,18830525,    0,    0
 20525,   501,18830526,   54,    0
 20525,   501,18830527,    1,    0
 20525,   501,18830528,    0,    0
 20525,   501,18830529,    5,    0
 20525,   501,18830530,    0,    0
 20525,   501,18830531,    0,    0
 20525,   501,18830601,   96,    0
 20525,   501,18830602,    0,    0
 20525,   501,18830603,    0,    0
 20525,   501,18830604,    0,    0
 20525,   501,18830605,    0,    0
 20525,   501,18830606,    0,    0
 20525,   501,18830607,    7,    0
 20525,   501,18830608,    0,    0
 20525,   501,18830609,    0,    0
 20525,   501,18830610,    0,    0
 20525,   501,18830611,    0,    0
 20525,   501,18830612,    0,    0
 20525,   501,18830613,    0,    0
 20525,   501,18830614,   20,    0
 20525,   501,18830615,   23,    0
 20525,   501,18830616,   16,    0
 20525,   501,18830617,    0,    0
 20525,   501,18830618,    0,    0
 20525,   501,18830619,    0,    0
 20525,   501,18830620,   15,    0
 20525,   501,18830621,    0,    0
 20525,   501,18830622,    0,    0
 20525,   501,18830623,    0,    0
 20525,   501,18830624,    4,    0
 20525,   501,18830625,   90,    0
 20525,   501,18830626,   22,    0
 20525,   501,18830627,    6,    0
 20525,   501,18830628,    0,    0
 20525,   501,18830629,    0,    0
 20525,   501,18830630,    0,    0
 20525,   501,18830701,    0,    0
 20525,   501,18830702,    0,    0
 20525,   501,18830703,    0,    0
 20525,   501,18830704,   57,    0
 20525,   501,18830705,    0,    0
 20525,   501,18830706,    0,    0
 20525,   501,18830707,    0,    0
 20525,   501,18830708,    0,    0
 20525,   501,18830709,    0,    0
 20525,   501,18830710,    0,    0
 20525,   501,18830711,   50,    0
 20525,   501,18830712,   70,    0
 20525,   501,18830713,    0,    0
 20525,   501,18830714,   42,    0
 20525,   501,18830715,  122,    0
 20525,   501,18830716,  155,    0
 20525,   501,18830717,  155,    0
 20525,   501,18830718,   52,    0
 20525,   501,18830719,   75,    0
 20525,   501,18830720,   69,    0
 20525,   501,18830721,   54,    0
 20525,   501,18830722,  164,    0
 20525,   501,18830723,   94,    0
 20525,   501,18830724,   64,    0
 20525,   501,18830725,  109,    0
 20525,   501,18830726,   67,    0
 20525,   501,18830727,   64,    0
 20525,   501,18830728,    0,    0
 20525,   501,18830729,    2,    0
 20525,   501,18830730,   80,    0
 20525,   501,18830731,    0,    0
 20525,   501,18830801,    0,    0
 20525,   501,18830802,    0,    0
 20525,   501,18830803,   10,    0
 20525,   501,18830804,    1,    0
 20525,   501,18830805,   44,    0
 20525,   501,18830806,   23,    0
 20525,   501,18830807,    0,    0
 20525,   501,18830808,   80,    0
 20525,   501,18830809,   14,    0
 20525,   501,18830810,  115,    0
 20525,   501,18830811,    0,    0
 20525,   501,18830812,    0,    0
 20525,   501,18830813,    0,    0
 20525,   501,18830814,   65,    0
 20525,   501,18830815,  122,    0
 20525,   501,18830816,    0,    0
 20525,   501,18830817,   23,    0
 20525,   501,18830818,    1,    0
 20525,   501,18830819,    0,    0
 20525,   501,18830820,    0,    0
 20525,   501,18830821,    0,    0
 20525,   501,18830822,    0,    0
 20525,   501,18830823,    0,    0
 20525,   501,18830824,    0,    0
 20525,   501,18830825,    0,    0
 20525,   501,18830826,    0,    0
 20525,   501,18830827,    2,    0
 20525,   501,18830828,    4,    0
 20525,   501,18830829,    0,    0
 20525,   501,18830830,    0,    0
 20525,   501,18830831,    2,    0
 20525,   501,18830901,   23,    0
 20525,   501,18830902,   87,    0
 20525,   501,18830903,    5,    0
 20525,   501,18830904,   12,    0
 20525,   501,18830905,   13,    0
 20525,   501,18830906,   23,    0
 20525,   501,18830907,   45,    0
 20525,   501,18830908,   59,    0
 20525,   501,18830909,    0,    0
 20525,   501,18830910,    0,    0
 20525,   501,18830911,    0,    0
 20525,   501,18830912,    0,    0
 20525,   501,18830913,    0,    0
 20525,   501,18830914,    3,    0
 20525,   501,18830915,    0,    0
 20525,   501,18830916,    0,    0
 20525,   501,18830917,    0,    0
 20525,   501,18830918,    1,    0
 20525,   501,18830919,    1,    0
 20525,   501,18830920,   36,    0
 20525,   501,18830921,    1,    0
 20525,   501,18830922,   15,    0
 20525,   501,18830923,    2,    0
 20525,   501,18830924,   57,    0
 20525,   501,18830925,    2,    0
 20525,   501,18830926,   63,    0
 20525,   501,18830927,   34,    0
 20525,   501,18830928,  111,    0
 20525,   501,18830929,    5,    0
 20525,   501,18830930,   20,    0
 20525,   501,18831001,    6,    0
 20525,   501,18831002,   32,    0
 20525,   501,18831003,  177,    0
 20525,   501,18831004,   80,    0
 20525,   501,18831005,   12,    0
 20525,   501,18831006,   10,    0
 20525,   501,18831007,   10,    0
 20525,   501,18831008,    0,    0
 20525,   501,18831009,    0,    0
 20525,   501,18831010,    0,    0
 20525,   501,18831011,   14,    0
 20525,   501,18831012,   10,    0
 20525,   501,18831013,    2,    0
 20525,   501,18831014,    0,    0
 20525,   501,18831015,   17,    0
 20525,   501,18831016,   24,    0
 20525,   501,18831017,   77,    0
 20525,   501,18831018,    8,    0
 20525,   501,18831019,  190,    0
 20525,   501,18831020,    2,    0
 20525,   501,18831021,   10,    0
 20525,   501,18831022,   14,    0
 20525,   501,18831023,   19,    0
 20525,   501,18831024,   30,    0
 20525,   501,18831025,    2,    0
 20525,   501,18831026,    9,    0
 20525,   501,18831027,    0,    0
 20525,   501,18831028,    0,    0
 20525,   501,18831029,    0,    0
 20525,   501,18831030,    0,    0
 20525,   501,18831031,    0,    0
 20525,   501,18831101,    0,    0
 20525,   501,18831102,    0,    0
 20525,   501,18831103,    0,    0
 20525,   501,18831104,   76,    0
 20525,   501,18831105,   78,    0
 20525,   501,18831106,   76,    0
 20525,   501,18831107,    0,    0
 20525,   501,18831108,   42,    0
 20525,   501,18831109,   56,    0
 20525,   501,18831110,   60,    0
 20525,   501,18831111,   36,    0
 20525,   501,18831112,   45,    0
 20525,   501,18831113,    2,    0
 20525,   501,18831114,    7,    0
 20525,   501,18831115,    0,    0
 20525,   501,18831116,    9,    0
 20525,   501,18831117,  100,    0
 20525,   501,18831118,    0,    0
 20525,   501,18831119,   37,    0
 20525,   501,18831120,   54,    0
 20525,   501,18831121,   39,    0
 20525,   501,18831122,   27,    0
 20525,   501,18831123,    0,    0
 20525,   501,18831124,   50,    0
 20525,   501,18831125,   27,    0
 20525,   501,18831126,   48,    0
 20525,   501,18831127,    0,    0
 20525,   501,18831128,    5,    0
 20525,   501,18831129,   30,    0
 20525,   501,18831130,   35,    0
 20525,   501,18831201,   12,    0
 20525,   501,18831202,   15,    0
 20525,   501,18831203,  138,    0
 20525,   501,18831204,   30,    0
 20525,   501,18831205,   30,    0
 20525,   501,18831206,   58,    0
 20525,   501,18831207,   10,    0
 20525,   501,18831208,    0,    0
 20525,   501,18831209,    0,    0
 20525,   501,18831210,   63,    0
 20525,   501,18831211,   76,    0
 20525,   501,18831212,   30,    0
 20525,   501,18831213,    0,    0
 20525,   501,18831214,   35,    0
 20525,   501,18831215,   66,    0
 20525,   501,18831216,    0,    0
 20525,   501,18831217,   13,    0
 20525,   501,18831218,   22,    0
 20525,   501,18831219,   75,    0
 20525,   501,18831220,   50,    0
 20525,   501,18831221,   18,    0
 20525,   501,18831222,   17,    0
 20525,   501,18831223,    1,    0
 20525,   501,18831224,    1,    0
 20525,   501,18831225,    6,    0
 20525,   501,18831226,    4,    0
 20525,   501,18831227,    2,    0
 20525,   501,18831228,    1,    0
 20525,   501,18831229,    0,    0
 20525,   501,18831230,    0,    0
 20525,   501,18831231,    0,    0
 20525,   501,18840101,    0,    0
 20525,   501,18840102,   10,    0
 20525,   501,18840103,   14,    0
 20525,   501,18840104,   16,    0
 20525,   501,18840105,   67,    0
 20525,   501,18840106,    6,    0
 20525,   501,18840107,    0,    0
 20525,   501,18840108,    8,    0
 20525,   501,18840109,    0,    0
 20525,   501,18840110,    0,    0
 20525,   501,18840111,    6,    0
 20525,   501,18840112,   36,    0
 20525,   501,18840113,    4,    0
 20525,   501,18840114,   18,    0
 20525,   501,18840115,    0,    0
 20525,   501,18840116,    6,    0
 20525,   501,18840117,    0,    0
 20525,   501,18840118,    2,    0
 20525,   501,18840119,    0,    0
 20525,   501,18840120,    0,    0
 20525,   501,18840121,    0,    0
 20525,   501,18840122,  165,    0
 20525,   501,18840123,  120,    0
 20525,   501,18840124,  105,    0
 20525,   501,18840125,   32,    0
 20525,   501,18840126,   87,    0
 20525,   501,18840127,   21,    0
 20525,   501,18840128,   29,    0
 20525,   501,18840129,   10,    0
 20525,   501,18840130,    4,    0
 20525,   501,18840131,  131,    0
 20525,   501,18840201,   21,    0
 20525,   501,18840202,    0,    0
 20525,   501,18840203,    4,    0
 20525,   501,18840204,    4,    0
 20525,   501,18840205,    1,    0
 20525,   501,18840206,    0,    0
 20525,   501,18840207,    0,    0
 20525,   501,18840208,    0,    0
 20525,   501,18840209,   25,    0
 20525,   501,18840210,    0,    0
 20525,   501,18840211,   15,    0
 20525,   501,18840212,    0,    0
 20525,   501,18840213,    0,    0
 20525,   501,18840214,    0,    0
 20525,   501,18840215,    0,    0
 20525,   501,18840216,    0,    0
 20525,   501,18840217,    0,    0
 20525,   501,18840218,    0,    0
 20525,   501,18840219,   12,    0
 20525,   501,18840220,    5,    0
 20525,   501,18840221,   20,    0
 20525,   501,18840222,   49,    0
 20525,   501,18840223,   20,    0
 20525,   501,18840224,   78,    0
 20525,   501,18840225,   17,    0
 20525,   501,18840226,    0,    0
 20525,   501,18840227,    1,    0
 20525,   501,18840228,    0,    0
 20525,   501,18840229,    5,    0
 20525,   501,18840301,   10,    0
 20525,   501,18840302,   55,    0
 20525,   501,18840303,    0,    0
 20525,   501,18840304,    0,    0
 20525,   501,18840305,    0,    0
 20525,   501,18840306,    0,    0
 20525,   501,18840307,   10,    0
 20525,   501,18840308,   34,    0
 20525,   501,18840309,   20,    0
 20525,   501,18840310,  110,    0
 20525,   501,18840311,   42,    0
 20525,   501,18840312,    5,    0
 20525,   501,18840313,    0,    0
 20525,   501,18840314,    0,    0
 20525,   501,18840315,    5,    0
 20525,   501,18840316,    0,    0
 20525,   501,18840317,    0,    0
 20525,   501,18840318,    0,    0
 20525,   501,18840319,    0,    0
 20525,   501,18840320,   10,    0
 20525,   501,18840321,   20,    0
 20525,   501,18840322,   18,    0
 20525,   501,18840323,    0,    0
 20525,   501,18840324,    0,    0
 20525,   501,18840325,    0,    0
 20525,   501,18840326,    0,    0
 20525,   501,18840327,    6,    0
 20525,   501,18840328,    0,    0
 20525,   501,18840329,    0,    0
 20525,   501,18840330,    0,    0
 20525,   501,18840331,    0,    0
 20525,   501,18840401,    0,    0
