EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ZUTPHEN, NETHERLANDS (STAID: 20655)
Blended and updated with sources:109423 109446 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 20655,109446,18880101,-9999,    9
 20655,109446,18880102,-9999,    9
 20655,109446,18880103,-9999,    9
 20655,109446,18880104,-9999,    9
 20655,109446,18880105,-9999,    9
 20655,109446,18880106,-9999,    9
 20655,109446,18880107,-9999,    9
 20655,109446,18880108,-9999,    9
 20655,109446,18880109,-9999,    9
 20655,109446,18880110,-9999,    9
 20655,109446,18880111,-9999,    9
 20655,109446,18880112,-9999,    9
 20655,109446,18880113,-9999,    9
 20655,109446,18880114,-9999,    9
 20655,109446,18880115,-9999,    9
 20655,109446,18880116,-9999,    9
 20655,109446,18880117,-9999,    9
 20655,109446,18880118,-9999,    9
 20655,109446,18880119,-9999,    9
 20655,109446,18880120,-9999,    9
 20655,109446,18880121,-9999,    9
 20655,109446,18880122,-9999,    9
 20655,109446,18880123,-9999,    9
 20655,109446,18880124,-9999,    9
 20655,109446,18880125,-9999,    9
 20655,109446,18880126,-9999,    9
 20655,109446,18880127,-9999,    9
 20655,109446,18880128,-9999,    9
 20655,109446,18880129,-9999,    9
 20655,109446,18880130,-9999,    9
 20655,109446,18880131,    0,    0
 20655,109446,18880201,    0,    0
 20655,109446,18880202,    0,    0
 20655,109446,18880203,    8,    0
 20655,109446,18880204,    0,    0
 20655,109446,18880205,   51,    0
 20655,109446,18880206,    8,    0
 20655,109446,18880207,   23,    0
 20655,109446,18880208,   24,    0
 20655,109446,18880209,    3,    0
 20655,109446,18880210,   16,    0
 20655,109446,18880211,   23,    0
 20655,109446,18880212,   19,    0
 20655,109446,18880213,    8,    0
 20655,109446,18880214,   12,    0
 20655,109446,18880215,    0,    0
 20655,109446,18880216,   12,    0
 20655,109446,18880217,   75,    0
 20655,109446,18880218,   36,    0
 20655,109446,18880219,    9,    0
 20655,109446,18880220,    0,    0
 20655,109446,18880221,    0,    0
 20655,109446,18880222,    0,    0
 20655,109446,18880223,    0,    0
 20655,109446,18880224,    7,    0
 20655,109446,18880225,    0,    0
 20655,109446,18880226,    0,    0
 20655,109446,18880227,    0,    0
 20655,109446,18880228,    0,    0
 20655,109446,18880229,    2,    0
 20655,109446,18880301,    1,    0
 20655,109446,18880302,   15,    0
 20655,109446,18880303,   15,    0
 20655,109446,18880304,   27,    0
 20655,109446,18880305,    0,    0
 20655,109446,18880306,    1,    0
 20655,109446,18880307,    1,    0
 20655,109446,18880308,   53,    0
 20655,109446,18880309,   73,    0
 20655,109446,18880310,   22,    0
 20655,109446,18880311,  153,    0
 20655,109446,18880312,   48,    0
 20655,109446,18880313,   12,    0
 20655,109446,18880314,    7,    0
 20655,109446,18880315,   35,    0
 20655,109446,18880316,   81,    0
 20655,109446,18880317,   15,    0
