EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TRAWSGOED, UNITED KINGDOM (STAID: 21917)
Blended and updated with sources:118635 903503 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 21917,903503,19920101,-9999,    9
 21917,903503,19920102,-9999,    9
 21917,903503,19920103,-9999,    9
 21917,903503,19920104,-9999,    9
 21917,903503,19920105,-9999,    9
 21917,903503,19920106,-9999,    9
 21917,903503,19920107,-9999,    9
 21917,903503,19920108,-9999,    9
 21917,903503,19920109,-9999,    9
 21917,903503,19920110,-9999,    9
 21917,903503,19920111,-9999,    9
 21917,903503,19920112,-9999,    9
 21917,903503,19920113,-9999,    9
 21917,903503,19920114,-9999,    9
 21917,903503,19920115,    0,    0
 21917,118635,19920116,    0,    0
 21917,118635,19920117,    2,    0
 21917,118635,19920118,    0,    0
 21917,118635,19920119,    0,    0
 21917,903503,19920120,    0,    0
 21917,903503,19920121,    0,    0
 21917,903503,19920122,    0,    0
 21917,903503,19920123,-9999,    9
 21917,903503,19920124,-9999,    9
 21917,118635,19920125,   84,    0
 21917,118635,19920126,    0,    0
 21917,903503,19920127,    2,    0
 21917,118635,19920128,    2,    0
 21917,118635,19920129,    2,    0
 21917,118635,19920130,    0,    0
 21917,903503,19920131,    2,    0
 21917,118635,19920201,    0,    0
 21917,118635,19920202,    2,    0
 21917,903503,19920203,-9999,    9
 21917,118635,19920204,    2,    0
 21917,118635,19920205,    0,    0
 21917,118635,19920206,    0,    0
 21917,118635,19920207,    0,    0
 21917,118635,19920208,    0,    0
 21917,118635,19920209,  140,    0
 21917,903503,19920210,   12,    0
 21917,903503,19920211,    0,    0
 21917,118635,19920212,   70,    0
 21917,903503,19920213,-9999,    9
 21917,118635,19920214,   28,    0
 21917,118635,19920215,   22,    0
 21917,118635,19920216,   20,    0
 21917,118635,19920217,   24,    0
 21917,903503,19920218,    2,    0
 21917,118635,19920219,    0,    0
 21917,118635,19920220,    0,    0
 21917,118635,19920221,    6,    0
 21917,118635,19920222,    2,    0
 21917,118635,19920223,   92,    0
 21917,118635,19920224,    0,    0
 21917,118635,19920225,    0,    0
 21917,118635,19920226,   16,    0
 21917,903503,19920227,-9999,    9
 21917,118635,19920228,    2,    0
 21917,118635,19920229,    0,    0
 21917,118635,19920301,   76,    0
 21917,118635,19920302,   10,    0
 21917,903503,19920303,-9999,    9
 21917,118635,19920304,    0,    0
 21917,118635,19920305,   38,    0
 21917,118635,19920306,    0,    0
 21917,118635,19920307,   48,    0
 21917,118635,19920308,    0,    0
 21917,118635,19920309,   14,    0
 21917,118635,19920310,   26,    0
 21917,118635,19920311,   54,    0
 21917,118635,19920312,   46,    0
 21917,118635,19920313,   78,    0
 21917,118635,19920314,   22,    0
 21917,118635,19920315,    2,    0
 21917,903503,19920316,-9999,    9
 21917,903503,19920317,    4,    0
 21917,903503,19920318,-9999,    9
 21917,903503,19920319,-9999,    9
 21917,118635,19920320,   30,    0
 21917,903503,19920321,  200,    0
 21917,903503,19920322,-9999,    9
 21917,903503,19920323,   28,    0
 21917,118635,19920324,    4,    0
 21917,118635,19920325,  110,    0
 21917,118635,19920326,  110,    0
 21917,118635,19920327,    4,    0
 21917,903503,19920328,-9999,    9
 21917,118635,19920329,   52,    0
 21917,903503,19920330,-9999,    9
 21917,118635,19920331,   14,    0
 21917,118635,19920401,    4,    0
 21917,118635,19920402,    4,    0
 21917,118635,19920403,    0,    0
 21917,118635,19920404,    0,    0
 21917,903503,19920405,-9999,    9
 21917,118635,19920406,   62,    0
 21917,118635,19920407,   78,    0
 21917,118635,19920408,    0,    0
 21917,118635,19920409,    0,    0
 21917,118635,19920410,    0,    0
 21917,118635,19920411,    6,    0
 21917,903503,19920412,-9999,    9
 21917,903503,19920413,-9999,    9
 21917,118635,19920414,  130,    0
 21917,118635,19920415,   14,    0
