EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ABERDARON, UNITED KINGDOM (STAID: 22006)
Blended and updated with sources:119227 903405 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 22006,119227,19930901,    0,    0
 22006,119227,19930902,    0,    0
 22006,119227,19930903,    0,    0
 22006,119227,19930904,    0,    0
 22006,119227,19930905,    0,    0
 22006,119227,19930906,    0,    0
 22006,119227,19930907,   24,    0
 22006,119227,19930908,-9999,    9
 22006,119227,19930909,   56,    0
 22006,119227,19930910,    2,    0
 22006,119227,19930911,    0,    0
 22006,119227,19930912,   86,    0
 22006,119227,19930913,   12,    0
 22006,119227,19930914,    2,    0
 22006,119227,19930915,   32,    0
 22006,119227,19930916,  122,    0
 22006,119227,19930917,    0,    0
 22006,119227,19930918,    0,    0
 22006,119227,19930919,   14,    0
 22006,119227,19930920,   66,    0
 22006,119227,19930921,   64,    0
 22006,119227,19930922,   52,    0
 22006,119227,19930923,    0,    0
 22006,119227,19930924,-9999,    9
 22006,119227,19930925,   52,    0
 22006,119227,19930926,    0,    0
 22006,119227,19930927,    0,    0
 22006,119227,19930928,   10,    0
 22006,119227,19930929,   52,    0
 22006,119227,19930930,   22,    0
 22006,119227,19931001,    2,    0
 22006,119227,19931002,   24,    0
 22006,119227,19931003,   34,    0
 22006,119227,19931004,  132,    0
 22006,119227,19931005,   70,    0
 22006,119227,19931006,   48,    0
 22006,119227,19931007,   16,    0
 22006,119227,19931008,   16,    0
 22006,119227,19931009,   26,    0
 22006,119227,19931010,-9999,    9
 22006,119227,19931011,    0,    0
 22006,119227,19931012,  114,    0
 22006,119227,19931013,-9999,    9
 22006,119227,19931014,    6,    0
 22006,119227,19931015,   28,    0
 22006,119227,19931016,   28,    0
 22006,119227,19931017,    0,    0
 22006,119227,19931018,    0,    0
 22006,119227,19931019,    0,    0
 22006,119227,19931020,    4,    0
 22006,119227,19931021,    8,    0
 22006,119227,19931022,    0,    0
 22006,119227,19931023,    0,    0
 22006,119227,19931024,    0,    0
 22006,119227,19931025,    0,    0
 22006,119227,19931026,    0,    0
 22006,119227,19931027,    0,    0
 22006,119227,19931028,    0,    0
 22006,119227,19931029,    0,    0
 22006,119227,19931030,    0,    0
 22006,119227,19931031,    0,    0
 22006,119227,19931101,    0,    0
 22006,119227,19931102,    0,    0
 22006,119227,19931103,  208,    0
 22006,119227,19931104,    4,    0
 22006,119227,19931105,   22,    0
 22006,119227,19931106,    0,    0
 22006,119227,19931107,  118,    0
 22006,119227,19931108,-9999,    9
 22006,119227,19931109,  190,    0
 22006,119227,19931110,    6,    0
 22006,119227,19931111,   16,    0
 22006,119227,19931112,   86,    0
 22006,119227,19931113,  130,    0
 22006,119227,19931114,   46,    0
 22006,119227,19931115,    0,    0
 22006,119227,19931116,    0,    0
 22006,119227,19931117,-9999,    9
 22006,119227,19931118,    0,    0
 22006,119227,19931119,-9999,    9
 22006,119227,19931120,    0,    0
 22006,119227,19931121,    0,    0
 22006,119227,19931122,    0,    0
 22006,119227,19931123,    0,    0
 22006,119227,19931124,   16,    0
 22006,119227,19931125,-9999,    9
 22006,119227,19931126,    0,    0
 22006,119227,19931127,    0,    0
 22006,119227,19931128,    2,    0
 22006,119227,19931129,   68,    0
 22006,119227,19931130,-9999,    9
 22006,119227,19931201,   20,    0
 22006,119227,19931202,    0,    0
 22006,119227,19931203,   94,    0
 22006,119227,19931204,   58,    0
 22006,119227,19931205,    2,    0
 22006,119227,19931206,-9999,    9
 22006,119227,19931207,-9999,    9
 22006,119227,19931208,-9999,    9
 22006,119227,19931209,-9999,    9
 22006,119227,19931210,-9999,    9
 22006,119227,19931211,-9999,    9
 22006,119227,19931212,-9999,    9
 22006,119227,19931213,-9999,    9
 22006,119227,19931214,-9999,    9
 22006,119227,19931215,-9999,    9
 22006,119227,19931216,-9999,    9
 22006,119227,19931217,   18,    0
 22006,119227,19931218,  124,    0
 22006,119227,19931219,   16,    0
 22006,119227,19931220,   78,    0
 22006,119227,19931221,-9999,    9
 22006,119227,19931222,   30,    0
 22006,119227,19931223,   64,    0
 22006,119227,19931224,    8,    0
 22006,119227,19931225,-9999,    9
 22006,119227,19931226,-9999,    9
 22006,119227,19931227,-9999,    9
 22006,119227,19931228,  108,    0
 22006,119227,19931229,   18,    0
 22006,119227,19931230,   82,    0
 22006,119227,19931231,    0,    0
 22006,119227,19940101,   78,    0
 22006,119227,19940102,    2,    0
 22006,119227,19940103,   74,    0
 22006,119227,19940104,-9999,    9
 22006,119227,19940105,   18,    0
 22006,119227,19940106,  108,    0
 22006,119227,19940107,   12,    0
 22006,119227,19940108,   62,    0
 22006,119227,19940109,   30,    0
 22006,119227,19940110,-9999,    9
 22006,119227,19940111,   42,    0
 22006,119227,19940112,   78,    0
 22006,119227,19940113,    2,    0
 22006,119227,19940114,    0,    0
 22006,119227,19940115,   12,    0
 22006,119227,19940116,    0,    0
 22006,119227,19940117,    0,    0
 22006,119227,19940118,   68,    0
 22006,119227,19940119,    4,    0
 22006,119227,19940120,   20,    0
 22006,119227,19940121,   18,    0
 22006,119227,19940122,   10,    0
 22006,119227,19940123,    6,    0
 22006,119227,19940124,    6,    0
 22006,119227,19940125,   24,    0
 22006,119227,19940126,    0,    0
 22006,119227,19940127,-9999,    9
 22006,119227,19940128,-9999,    9
 22006,119227,19940129,   12,    0
 22006,119227,19940130,    2,    0
 22006,119227,19940131,    4,    0
 22006,119227,19940201,   76,    0
 22006,119227,19940202,    0,    0
 22006,119227,19940203,   72,    0
 22006,119227,19940204,-9999,    9
 22006,119227,19940205,   20,    0
 22006,119227,19940206,-9999,    9
 22006,119227,19940207,   20,    0
 22006,119227,19940208,   24,    0
 22006,119227,19940209,    0,    0
 22006,119227,19940210,   96,    0
 22006,119227,19940211,   38,    0
 22006,119227,19940212,    0,    0
 22006,119227,19940213,    0,    0
 22006,119227,19940214,    0,    0
 22006,119227,19940215,    0,    0
 22006,119227,19940216,   86,    0
 22006,119227,19940217,    4,    0
 22006,119227,19940218,   88,    0
 22006,119227,19940219,    2,    0
 22006,119227,19940220,   26,    0
 22006,119227,19940221,    0,    0
 22006,119227,19940222,   80,    0
 22006,119227,19940223,  168,    0
 22006,119227,19940224,    0,    0
 22006,119227,19940225,  182,    0
 22006,119227,19940226,    4,    0
 22006,119227,19940227,  106,    0
 22006,119227,19940228,    2,    0
 22006,119227,19940301,   58,    0
 22006,119227,19940302,    2,    0
 22006,119227,19940303,   20,    0
 22006,119227,19940304,    4,    0
 22006,119227,19940305,   14,    0
 22006,119227,19940306,   36,    0
 22006,119227,19940307,   30,    0
 22006,119227,19940308,    4,    0
 22006,119227,19940309,   16,    0
 22006,119227,19940310,    0,    0
 22006,119227,19940311,   56,    0
 22006,119227,19940312,   24,    0
 22006,119227,19940313,   12,    0
 22006,119227,19940314,   52,    0
 22006,119227,19940315,   46,    0
 22006,119227,19940316,-9999,    9
 22006,119227,19940317,    6,    0
 22006,119227,19940318,   76,    0
 22006,119227,19940319,    0,    0
 22006,119227,19940320,   28,    0
 22006,119227,19940321,-9999,    9
 22006,119227,19940322,-9999,    9
 22006,119227,19940323,-9999,    9
 22006,119227,19940324,   54,    0
 22006,119227,19940325,   28,    0
 22006,119227,19940326,    0,    0
 22006,119227,19940327,-9999,    9
 22006,119227,19940328,-9999,    9
 22006,119227,19940329,-9999,    9
 22006,119227,19940330,  100,    0
 22006,119227,19940331,  214,    0
 22006,119227,19940401,   26,    0
 22006,119227,19940402,    8,    0
 22006,119227,19940403,   92,    0
 22006,119227,19940404,   54,    0
 22006,119227,19940405,   10,    0
 22006,119227,19940406,    0,    0
 22006,119227,19940407,   10,    0
 22006,119227,19940408,   98,    0
 22006,119227,19940409,   44,    0
 22006,119227,19940410,    0,    0
 22006,119227,19940411,    0,    0
 22006,119227,19940412,-9999,    9
 22006,119227,19940413,    0,    0
 22006,119227,19940414,    0,    0
 22006,119227,19940415,    0,    0
 22006,119227,19940416,-9999,    9
 22006,119227,19940417,    0,    0
 22006,119227,19940418,    2,    0
 22006,119227,19940419,   26,    0
 22006,119227,19940420,   44,    0
 22006,119227,19940421,   62,    0
 22006,119227,19940422,  100,    0
 22006,119227,19940423,    8,    0
 22006,119227,19940424,    8,    0
 22006,119227,19940425,  116,    0
 22006,119227,19940426,    2,    0
 22006,119227,19940427,    2,    0
 22006,119227,19940428,    2,    0
 22006,119227,19940429,-9999,    9
 22006,119227,19940430,    2,    0
 22006,119227,19940501,    2,    0
 22006,119227,19940502,    0,    0
 22006,119227,19940503,   82,    0
 22006,119227,19940504,    0,    0
 22006,119227,19940505,   12,    0
 22006,119227,19940506,    2,    0
 22006,119227,19940507,    6,    0
 22006,119227,19940508,   10,    0
 22006,119227,19940509,    0,    0
 22006,119227,19940510,   16,    0
 22006,119227,19940511,    0,    0
 22006,119227,19940512,-9999,    9
 22006,119227,19940513,   16,    0
 22006,119227,19940514,   34,    0
 22006,119227,19940515,  118,    0
 22006,119227,19940516,   10,    0
 22006,119227,19940517,    0,    0
 22006,119227,19940518,    0,    0
 22006,119227,19940519,    0,    0
