EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BISCHOFSHEIM/RHOEN (KREUZBERG), GERMANY (STAID: 22407)
Blended and updated with sources:120748 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 22407,120748,20190701,    0,    1
 22407,120748,20190702,    0,    1
 22407,120748,20190703,    0,    1
 22407,120748,20190704,    0,    1
 22407,120748,20190705,    0,    1
 22407,120748,20190706,    4,    0
 22407,120748,20190707,   15,    1
 22407,120748,20190708,    0,    1
 22407,120748,20190709,    0,    1
 22407,120748,20190710,   10,    0
 22407,120748,20190711,   76,    0
 22407,120748,20190712,    5,    1
 22407,120748,20190713,    0,    1
 22407,120748,20190714,    0,    1
 22407,120748,20190715,    0,    1
 22407,120748,20190716,    0,    1
 22407,120748,20190717,    0,    1
 22407,120748,20190718,    1,    0
 22407,120748,20190719,   24,    1
 22407,120748,20190720,    0,    1
 22407,120748,20190721,    0,    1
 22407,120748,20190722,    0,    1
 22407,120748,20190723,    0,    1
 22407,120748,20190724,    0,    1
 22407,120748,20190725,    0,    1
 22407,120748,20190726,    0,    1
 22407,120748,20190727,    0,    1
 22407,120748,20190728,  180,    1
 22407,120748,20190729,    0,    1
 22407,120748,20190730,    0,    1
 22407,120748,20190731,    0,    1
 22407,120748,20190801,-9999,    9
 22407,120748,20190802,-9999,    9
 22407,120748,20190803,-9999,    9
 22407,120748,20190804,-9999,    9
 22407,120748,20190805,-9999,    9
 22407,120748,20190806,-9999,    9
 22407,120748,20190807,-9999,    9
 22407,120748,20190808,-9999,    9
 22407,120748,20190809,-9999,    9
 22407,120748,20190810,-9999,    9
 22407,120748,20190811,-9999,    9
 22407,120748,20190812,-9999,    9
 22407,120748,20190813,-9999,    9
 22407,120748,20190814,-9999,    9
 22407,120748,20190815,-9999,    9
 22407,120748,20190816,-9999,    9
 22407,120748,20190817,-9999,    9
 22407,120748,20190818,-9999,    9
 22407,120748,20190819,-9999,    9
 22407,120748,20190820,-9999,    9
 22407,120748,20190821,-9999,    9
 22407,120748,20190822,-9999,    9
 22407,120748,20190823,-9999,    9
 22407,120748,20190824,-9999,    9
 22407,120748,20190825,   30,    1
 22407,120748,20190826,    0,    1
 22407,120748,20190827,    0,    1
 22407,120748,20190828,    0,    1
 22407,120748,20190829,    0,    1
 22407,120748,20190830,    0,    1
 22407,120748,20190831,    0,    1
 22407,120748,20190901,    0,    1
 22407,120748,20190902,    0,    1
 22407,120748,20190903,    0,    1
 22407,120748,20190904,    0,    1
 22407,120748,20190905,    0,    1
 22407,120748,20190906,    0,    1
 22407,120748,20190907,    0,    1
 22407,120748,20190908,   50,    0
 22407,120748,20190909,   80,    1
 22407,120748,20190910,    0,    1
 22407,120748,20190911,   20,    1
 22407,120748,20190912,    0,    1
 22407,120748,20190913,    9,    1
 22407,120748,20190914,    0,    1
 22407,120748,20190915,    0,    1
 22407,120748,20190916,   40,    1
 22407,120748,20190917,    0,    1
 22407,120748,20190918,    0,    1
 22407,120748,20190919,    0,    1
 22407,120748,20190920,    0,    1
 22407,120748,20190921,    0,    1
 22407,120748,20190922,    0,    1
 22407,120748,20190923,-9999,    9
 22407,120748,20190924,-9999,    9
 22407,120748,20190925,-9999,    9
 22407,120748,20190926,-9999,    9
 22407,120748,20190927,-9999,    9
 22407,120748,20190928,-9999,    9
 22407,120748,20190929,-9999,    9
 22407,120748,20190930,-9999,    9
 22407,120748,20191001,-9999,    9
 22407,120748,20191002,-9999,    9
 22407,120748,20191003,-9999,    9
 22407,120748,20191004,-9999,    9
 22407,120748,20191005,-9999,    9
 22407,120748,20191006,-9999,    9
 22407,120748,20191007,-9999,    9
 22407,120748,20191008,-9999,    9
 22407,120748,20191009,-9999,    9
 22407,120748,20191010,-9999,    9
 22407,120748,20191011,-9999,    9
 22407,120748,20191012,-9999,    9
 22407,120748,20191013,-9999,    9
 22407,120748,20191014,-9999,    9
 22407,120748,20191015,-9999,    9
 22407,120748,20191016,-9999,    9
 22407,120748,20191017,-9999,    9
 22407,120748,20191018,-9999,    9
 22407,120748,20191019,-9999,    9
 22407,120748,20191020,-9999,    9
 22407,120748,20191021,-9999,    9
 22407,120748,20191022,-9999,    9
 22407,120748,20191023,-9999,    9
 22407,120748,20191024,-9999,    9
 22407,120748,20191025,-9999,    9
 22407,120748,20191026,-9999,    9
 22407,120748,20191027,-9999,    9
 22407,120748,20191028,-9999,    9
 22407,120748,20191029,-9999,    9
 22407,120748,20191030,-9999,    9
 22407,120748,20191031,-9999,    9
 22407,120748,20191101,-9999,    9
 22407,120748,20191102,-9999,    9
 22407,120748,20191103,-9999,    9
 22407,120748,20191104,-9999,    9
 22407,120748,20191105,-9999,    9
 22407,120748,20191106,-9999,    9
 22407,120748,20191107,-9999,    9
 22407,120748,20191108,-9999,    9
 22407,120748,20191109,-9999,    9
 22407,120748,20191110,-9999,    9
 22407,120748,20191111,-9999,    9
 22407,120748,20191112,-9999,    9
 22407,120748,20191113,-9999,    9
 22407,120748,20191114,-9999,    9
 22407,120748,20191115,-9999,    9
 22407,120748,20191116,-9999,    9
 22407,120748,20191117,-9999,    9
 22407,120748,20191118,-9999,    9
 22407,120748,20191119,-9999,    9
 22407,120748,20191120,-9999,    9
 22407,120748,20191121,-9999,    9
 22407,120748,20191122,-9999,    9
