EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VIELHA-ELIPORT, SPAIN (STAID: 22439)
Blended and updated with sources:120940 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 22439,120940,20210301,-9999,    9
 22439,120940,20210302,-9999,    9
 22439,120940,20210303,-9999,    9
 22439,120940,20210304,-9999,    9
 22439,120940,20210305,-9999,    9
 22439,120940,20210306,-9999,    9
 22439,120940,20210307,-9999,    9
 22439,120940,20210308,-9999,    9
 22439,120940,20210309,-9999,    9
 22439,120940,20210310,-9999,    9
 22439,120940,20210311,    0,    0
 22439,120940,20210312,    4,    0
 22439,120940,20210313,    0,    0
 22439,120940,20210314,    5,    0
 22439,120940,20210315,    0,    0
 22439,120940,20210316,    0,    0
 22439,120940,20210317,   51,    0
 22439,120940,20210318,    6,    0
 22439,120940,20210319,   85,    0
 22439,120940,20210320,    6,    0
 22439,120940,20210321,    2,    0
 22439,120940,20210322,    2,    0
 22439,120940,20210323,    0,    0
 22439,120940,20210324,    0,    0
 22439,120940,20210325,    0,    0
 22439,120940,20210326,    0,    0
 22439,120940,20210327,    0,    0
 22439,120940,20210328,    0,    0
 22439,120940,20210329,    0,    0
 22439,120940,20210330,    0,    0
 22439,120940,20210331,    0,    0
 22439,120940,20210401,    0,    0
 22439,120940,20210402,    9,    0
 22439,120940,20210403,    0,    0
 22439,120940,20210404,    0,    0
 22439,120940,20210405,    0,    0
 22439,120940,20210406,    0,    0
 22439,120940,20210407,    0,    0
 22439,120940,20210408,    0,    0
 22439,120940,20210409,    5,    0
 22439,120940,20210410,    0,    0
 22439,120940,20210411,   87,    0
 22439,120940,20210412,    1,    0
 22439,120940,20210413,    0,    0
 22439,120940,20210414,    0,    0
 22439,120940,20210415,    0,    0
 22439,120940,20210416,    0,    0
 22439,120940,20210417,    0,    0
 22439,120940,20210418,    0,    0
 22439,120940,20210419,    0,    0
 22439,120940,20210420,   21,    0
 22439,120940,20210421,   27,    0
 22439,120940,20210422,   32,    0
 22439,120940,20210423,    1,    0
 22439,120940,20210424,    0,    0
 22439,120940,20210425,    0,    0
 22439,120940,20210426,  159,    0
 22439,120940,20210427,   41,    0
 22439,120940,20210428,   22,    0
 22439,120940,20210429,   54,    0
 22439,120940,20210430,   77,    0
 22439,120940,20210501,   87,    0
 22439,120940,20210502,    0,    0
 22439,120940,20210503,    0,    0
 22439,120940,20210504,    0,    0
 22439,120940,20210505,    0,    0
 22439,120940,20210506,    0,    0
 22439,120940,20210507,    7,    0
 22439,120940,20210508,    0,    0
 22439,120940,20210509,  317,    0
 22439,120940,20210510,    3,    0
 22439,120940,20210511,  107,    0
 22439,120940,20210512,   29,    0
 22439,120940,20210513,   29,    0
