EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ESCH SURE, LUXEMBOURG (STAID: 22470)
Blended and updated with sources:121078 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 22470,121078,20070501,-9999,    9
 22470,121078,20070502,-9999,    9
 22470,121078,20070503,-9999,    9
 22470,121078,20070504,-9999,    9
 22470,121078,20070505,   13,    0
 22470,121078,20070506,    0,    0
 22470,121078,20070507,  172,    0
 22470,121078,20070508,   19,    0
 22470,121078,20070509,  108,    0
 22470,121078,20070510,    0,    0
 22470,121078,20070511,    9,    0
 22470,121078,20070512,   39,    0
 22470,121078,20070513,   95,    0
 22470,121078,20070514,   33,    0
 22470,121078,20070515,   45,    0
 22470,121078,20070516,   64,    0
 22470,121078,20070517,   54,    0
 22470,121078,20070518,    0,    0
 22470,121078,20070519,   13,    0
 22470,121078,20070520,   23,    0
 22470,121078,20070521,    0,    0
 22470,121078,20070522,    0,    0
 22470,121078,20070523,    0,    0
 22470,121078,20070524,    0,    0
 22470,121078,20070525,   96,    0
 22470,121078,20070526,   64,    0
 22470,121078,20070527,   18,    0
 22470,121078,20070528,   13,    0
 22470,121078,20070529,    7,    0
 22470,121078,20070530,   12,    0
 22470,121078,20070531,   24,    0
 22470,121078,20070601,  182,    0
 22470,121078,20070602,    0,    0
 22470,121078,20070603,    0,    0
 22470,121078,20070604,    0,    0
 22470,121078,20070605,    0,    0
 22470,121078,20070606,    0,    0
 22470,121078,20070607,    0,    0
 22470,121078,20070608,  332,    0
 22470,121078,20070609,  446,    0
 22470,121078,20070610,    3,    0
 22470,121078,20070611,    0,    0
 22470,121078,20070612,    0,    0
 22470,121078,20070613,   11,    0
 22470,121078,20070614,   34,    0
 22470,121078,20070615,    9,    0
 22470,121078,20070616,   53,    0
 22470,121078,20070617,   29,    0
 22470,121078,20070618,   71,    0
 22470,121078,20070619,    0,    0
 22470,121078,20070620,   93,    0
 22470,121078,20070621,   44,    0
 22470,121078,20070622,   64,    0
 22470,121078,20070623,   70,    0
 22470,121078,20070624,  240,    0
 22470,121078,20070625,   98,    0
 22470,121078,20070626,   95,    0
 22470,121078,20070627,    0,    0
 22470,121078,20070628,   24,    0
 22470,121078,20070629,   20,    0
 22470,121078,20070630,    2,    0
 22470,121078,20070701,    4,    0
 22470,121078,20070702,   58,    0
 22470,121078,20070703,  173,    0
 22470,121078,20070704,   41,    0
 22470,121078,20070705,   31,    0
 22470,121078,20070706,    6,    0
 22470,121078,20070707,    0,    0
 22470,121078,20070708,    7,    0
 22470,121078,20070709,   12,    0
 22470,121078,20070710,    4,    0
 22470,121078,20070711,    2,    0
 22470,121078,20070712,    4,    0
 22470,121078,20070713,    0,    0
 22470,121078,20070714,    0,    0
 22470,121078,20070715,    0,    0
 22470,121078,20070716,    2,    0
 22470,121078,20070717,    9,    0
 22470,121078,20070718,    0,    0
 22470,121078,20070719,   40,    0
 22470,121078,20070720,   58,    0
 22470,121078,20070721,    1,    0
 22470,121078,20070722,    0,    0
 22470,121078,20070723,   11,    0
 22470,121078,20070724,   17,    0
 22470,121078,20070725,    0,    0
 22470,121078,20070726,    0,    0
 22470,121078,20070727,    1,    0
 22470,121078,20070728,   66,    0
 22470,121078,20070729,   56,    0
 22470,121078,20070730,    0,    0
 22470,121078,20070731,    0,    0
 22470,121078,20070801,    0,    0
 22470,121078,20070802,   14,    0
 22470,121078,20070803,    0,    0
 22470,121078,20070804,    0,    0
 22470,121078,20070805,    0,    0
 22470,121078,20070806,   57,    0
 22470,121078,20070807,    3,    0
