EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ALTNAHARRA-NO-2, UNITED KINGDOM (STAID: 22587)
Blended and updated with sources:121540 903044 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 22587,121540,19930101,-9999,    9
 22587,121540,19930102,-9999,    9
 22587,121540,19930103,-9999,    9
 22587,121540,19930104,-9999,    9
 22587,121540,19930105,-9999,    9
 22587,121540,19930106,-9999,    9
 22587,121540,19930107,-9999,    9
 22587,121540,19930108,-9999,    9
 22587,121540,19930109,-9999,    9
 22587,121540,19930110,-9999,    9
 22587,121540,19930111,-9999,    9
 22587,121540,19930112,-9999,    9
 22587,121540,19930113,-9999,    9
 22587,121540,19930114,-9999,    9
 22587,121540,19930115,-9999,    9
 22587,121540,19930116,-9999,    9
 22587,121540,19930117,-9999,    9
 22587,121540,19930118,-9999,    9
 22587,121540,19930119,-9999,    9
 22587,121540,19930120,-9999,    9
 22587,121540,19930121,-9999,    9
 22587,121540,19930122,-9999,    9
 22587,121540,19930123,-9999,    9
 22587,121540,19930124,-9999,    9
 22587,121540,19930125,-9999,    9
 22587,121540,19930126,-9999,    9
 22587,121540,19930127,   16,    0
 22587,121540,19930128,-9999,    9
 22587,121540,19930129,    0,    0
 22587,121540,19930130,   14,    0
 22587,121540,19930131,    0,    0
 22587,121540,19930201,    0,    0
 22587,121540,19930202,   20,    0
 22587,121540,19930203,-9999,    9
 22587,121540,19930204,-9999,    9
 22587,121540,19930205,  110,    0
 22587,121540,19930206,-9999,    9
 22587,121540,19930207,-9999,    9
 22587,121540,19930208,-9999,    9
 22587,121540,19930209,    0,    0
 22587,121540,19930210,    0,    0
 22587,121540,19930211,-9999,    9
 22587,121540,19930212,    6,    0
 22587,121540,19930213,-9999,    9
 22587,121540,19930214,-9999,    9
 22587,121540,19930215,-9999,    9
