EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POYSDORF-OST, AUSTRIA (STAID: 23944)
Blended and updated with sources:124915 124941 124954 135003 911032 911332 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 23944,124954,19360101,    0,    0
 23944,124954,19360102,    0,    0
 23944,124954,19360103,    0,    0
 23944,124954,19360104,  102,    0
 23944,124954,19360105,    0,    0
 23944,124954,19360106,    0,    0
 23944,124954,19360107,    0,    0
 23944,124954,19360108,    0,    0
 23944,124954,19360109,    0,    0
 23944,124954,19360110,    5,    0
 23944,124954,19360111,   26,    0
 23944,124954,19360112,    0,    0
 23944,124954,19360113,    0,    0
 23944,124954,19360114,    0,    0
 23944,124954,19360115,    0,    0
 23944,124954,19360116,    0,    0
 23944,124954,19360117,    0,    0
 23944,124954,19360118,    0,    0
 23944,124954,19360119,    0,    0
 23944,124954,19360120,    0,    0
 23944,124954,19360121,    0,    0
 23944,124954,19360122,  130,    0
 23944,124954,19360123,    0,    0
 23944,124954,19360124,    0,    0
 23944,124954,19360125,    0,    0
 23944,124954,19360126,    0,    0
 23944,124954,19360127,    0,    0
 23944,124954,19360128,    0,    0
 23944,124954,19360129,    0,    0
 23944,124954,19360130,    0,    0
 23944,124954,19360131,   62,    0
 23944,124954,19360201,    0,    0
 23944,124954,19360202,    5,    0
 23944,124954,19360203,    0,    0
 23944,124954,19360204,   16,    0
 23944,124954,19360205,    0,    0
 23944,124954,19360206,    0,    0
 23944,124954,19360207,    0,    0
 23944,124954,19360208,    0,    0
 23944,124954,19360209,   30,    0
 23944,124954,19360210,    0,    0
 23944,124954,19360211,    0,    0
 23944,124954,19360212,    0,    0
 23944,124954,19360213,    0,    0
 23944,124954,19360214,    0,    0
 23944,124954,19360215,    0,    0
 23944,124954,19360216,    0,    0
 23944,124954,19360217,    0,    0
 23944,124954,19360218,    0,    0
 23944,124954,19360219,   17,    0
 23944,124954,19360220,   12,    0
 23944,124954,19360221,    0,    0
 23944,124954,19360222,   92,    0
 23944,124954,19360223,   83,    0
 23944,124954,19360224,   38,    0
 23944,124954,19360225,   32,    0
 23944,124954,19360226,    0,    0
 23944,124954,19360227,    5,    0
 23944,124954,19360228,    0,    0
 23944,124954,19360229,    0,    0
 23944,124954,19360301,    0,    0
 23944,124954,19360302,    0,    0
 23944,124954,19360303,    0,    0
 23944,124954,19360304,    0,    0
 23944,124954,19360305,    0,    0
 23944,124954,19360306,    0,    0
 23944,124954,19360307,  230,    0
 23944,124954,19360308,   25,    0
 23944,124954,19360309,    0,    0
 23944,124954,19360310,    0,    0
 23944,124954,19360311,    0,    0
 23944,124954,19360312,    0,    0
 23944,124954,19360313,    0,    0
 23944,124954,19360314,    0,    0
 23944,124954,19360315,    0,    0
 23944,124954,19360316,    0,    0
 23944,124954,19360317,    0,    0
 23944,124954,19360318,    0,    0
 23944,124954,19360319,    0,    0
 23944,124954,19360320,    0,    0
 23944,124954,19360321,    0,    0
 23944,124954,19360322,    0,    0
 23944,124954,19360323,    0,    0
 23944,124954,19360324,    0,    0
 23944,124954,19360325,    0,    0
 23944,124954,19360326,    0,    0
 23944,124954,19360327,    0,    0
 23944,124954,19360328,    0,    0
 23944,124954,19360329,    0,    0
 23944,124954,19360330,   25,    0
 23944,124954,19360331,   30,    0
 23944,124954,19360401,  135,    0
 23944,124954,19360402,   11,    0
 23944,124954,19360403,    0,    0
 23944,124954,19360404,  116,    0
 23944,124954,19360405,    0,    0
 23944,124954,19360406,    0,    0
 23944,124954,19360407,   26,    0
 23944,124954,19360408,    0,    0
 23944,124954,19360409,    0,    0
 23944,124954,19360410,    0,    0
 23944,124954,19360411,    5,    0
 23944,124954,19360412,   46,    0
 23944,124954,19360413,    0,    0
 23944,124954,19360414,    0,    0
 23944,124954,19360415,    0,    0
 23944,124954,19360416,    0,    0
 23944,124954,19360417,    0,    0
 23944,124954,19360418,    0,    0
 23944,124954,19360419,    0,    0
 23944,124954,19360420,    0,    0
 23944,124954,19360421,    7,    0
 23944,124954,19360422,    0,    0
 23944,124954,19360423,    7,    0
 23944,124954,19360424,    0,    0
 23944,124954,19360425,   12,    0
 23944,124954,19360426,    5,    0
 23944,124954,19360427,    0,    0
 23944,124954,19360428,    0,    0
 23944,124954,19360429,    0,    0
 23944,124954,19360430,    0,    0
 23944,124954,19360501,  114,    0
 23944,124954,19360502,   23,    0
 23944,124954,19360503,   64,    0
 23944,124954,19360504,    0,    0
 23944,124954,19360505,    0,    0
 23944,124954,19360506,    0,    0
 23944,124954,19360507,   50,    0
 23944,124954,19360508,    0,    0
 23944,124954,19360509,    0,    0
 23944,124954,19360510,    0,    0
 23944,124954,19360511,    0,    0
 23944,124954,19360512,    0,    0
 23944,124954,19360513,    0,    0
 23944,124954,19360514,    0,    0
 23944,124954,19360515,    0,    0
 23944,124954,19360516,    0,    0
 23944,124954,19360517,  100,    0
 23944,124954,19360518,    0,    0
 23944,124954,19360519,   84,    0
 23944,124954,19360520,    6,    0
 23944,124954,19360521,    0,    0
 23944,124954,19360522,  468,    0
 23944,124954,19360523,   45,    0
 23944,124954,19360524,    0,    0
 23944,124954,19360525,    0,    0
 23944,124954,19360526,    7,    0
 23944,124954,19360527,    0,    0
 23944,124954,19360528,    0,    0
 23944,124954,19360529,    0,    0
 23944,124954,19360530,   35,    0
 23944,124954,19360531,  103,    0
 23944,124954,19360601,   68,    0
 23944,124954,19360602,    0,    0
 23944,124954,19360603,    0,    0
 23944,124954,19360604,   90,    0
 23944,124954,19360605,   86,    0
 23944,124954,19360606,    0,    0
 23944,124954,19360607,   24,    0
 23944,124954,19360608,    0,    0
 23944,124954,19360609,    0,    0
 23944,124954,19360610,    0,    0
 23944,124954,19360611,   54,    0
 23944,124954,19360612,    0,    0
 23944,124954,19360613,    0,    0
 23944,124954,19360614,    0,    0
 23944,124954,19360615,    0,    0
 23944,124954,19360616,    0,    0
 23944,124954,19360617,    0,    0
 23944,124954,19360618,    0,    0
 23944,124954,19360619,    0,    0
 23944,124954,19360620,    0,    0
 23944,124954,19360621,    0,    0
 23944,124954,19360622,    0,    0
 23944,124954,19360623,    0,    0
 23944,124954,19360624,   14,    0
 23944,124954,19360625,    0,    0
 23944,124954,19360626,    0,    0
 23944,124954,19360627,    0,    0
 23944,124954,19360628,    0,    0
 23944,124954,19360629,    0,    0
 23944,124954,19360630,   59,    0
 23944,124954,19360701,    0,    0
 23944,124954,19360702,   62,    0
 23944,124954,19360703,    0,    0
 23944,124954,19360704,    0,    0
 23944,124954,19360705,    0,    0
 23944,124954,19360706,    0,    0
 23944,124954,19360707,    0,    0
 23944,124954,19360708,  130,    0
 23944,124954,19360709,    0,    0
 23944,124954,19360710,    0,    0
 23944,124954,19360711,  110,    0
 23944,124954,19360712,  194,    0
 23944,124954,19360713,   20,    0
 23944,124954,19360714,    0,    0
 23944,124954,19360715,    0,    0
 23944,124954,19360716,   30,    0
 23944,124954,19360717,    0,    0
 23944,124954,19360718,    0,    0
 23944,124954,19360719,    0,    0
 23944,124954,19360720,    6,    0
 23944,124954,19360721,   64,    0
 23944,124954,19360722,    0,    0
 23944,124954,19360723,   16,    0
 23944,124954,19360724,    0,    0
 23944,124954,19360725,    0,    0
 23944,124954,19360726,   14,    0
 23944,124954,19360727,    0,    0
 23944,124954,19360728,    0,    0
 23944,124954,19360729,    0,    0
 23944,124954,19360730,   38,    0
 23944,124954,19360731,  103,    0
 23944,124954,19360801,    0,    0
 23944,124954,19360802,    0,    0
 23944,124954,19360803,    1,    0
 23944,124954,19360804,    1,    0
 23944,124954,19360805,    1,    0
 23944,124954,19360806,    1,    0
 23944,124954,19360807,    1,    0
 23944,124954,19360808,    1,    0
 23944,124954,19360809,    1,    0
 23944,124954,19360810,    1,    0
 23944,124954,19360811,    1,    0
 23944,124954,19360812,    0,    0
 23944,124954,19360813,    1,    0
 23944,124954,19360814,    1,    0
 23944,124954,19360815,    1,    0
 23944,124954,19360816,    1,    0
 23944,124954,19360817,    1,    0
 23944,124954,19360818,    1,    0
 23944,124954,19360819,    1,    0
 23944,124954,19360820,    1,    0
 23944,124954,19360821,    1,    0
 23944,124954,19360822,    0,    0
 23944,124954,19360823,    0,    0
 23944,124954,19360824,    0,    0
 23944,124954,19360825,    0,    0
 23944,124954,19360826,    0,    0
 23944,124954,19360827,    0,    0
 23944,124954,19360828,    1,    0
 23944,124954,19360829,    1,    0
 23944,124954,19360830,    1,    0
 23944,124954,19360831,    0,    0
 23944,124954,19360901,    0,    0
 23944,124954,19360902,    0,    0
 23944,124954,19360903,    0,    0
 23944,124954,19360904,    0,    0
 23944,124954,19360905,    0,    0
 23944,124954,19360906,  180,    0
 23944,124954,19360907,    0,    0
 23944,124954,19360908,   12,    0
 23944,124954,19360909,   15,    0
 23944,124954,19360910,   64,    0
 23944,124954,19360911,    0,    0
 23944,124954,19360912,    0,    0
 23944,124954,19360913,    0,    0
 23944,124954,19360914,    0,    0
 23944,124954,19360915,    0,    0
 23944,124954,19360916,    0,    0
 23944,124954,19360917,    0,    0
 23944,124954,19360918,    0,    0
 23944,124954,19360919,    0,    0
 23944,124954,19360920,    0,    0
 23944,124954,19360921,    0,    0
 23944,124954,19360922,    0,    0
 23944,124954,19360923,    0,    0
 23944,124954,19360924,    0,    0
 23944,124954,19360925,   27,    0
 23944,124954,19360926,    0,    0
 23944,124954,19360927,    0,    0
 23944,124954,19360928,    0,    0
 23944,124954,19360929,    0,    0
 23944,124954,19360930,    3,    0
 23944,124954,19361001,   58,    0
 23944,124954,19361002,    0,    0
 23944,124954,19361003,    0,    0
 23944,124954,19361004,    0,    0
 23944,124954,19361005,    0,    0
 23944,124954,19361006,    0,    0
 23944,124954,19361007,   71,    0
 23944,124954,19361008,   29,    0
 23944,124954,19361009,    0,    0
 23944,124954,19361010,    0,    0
 23944,124954,19361011,    0,    0
 23944,124954,19361012,    0,    0
 23944,124954,19361013,    0,    0
 23944,124954,19361014,    0,    0
 23944,124954,19361015,    0,    0
 23944,124954,19361016,    3,    0
 23944,124954,19361017,    0,    0
 23944,124954,19361018,    0,    0
 23944,124954,19361019,    0,    0
 23944,124954,19361020,   14,    0
 23944,124954,19361021,   76,    0
 23944,124954,19361022,   10,    0
 23944,124954,19361023,    0,    0
 23944,124954,19361024,    0,    0
 23944,124954,19361025,    0,    0
 23944,124954,19361026,   28,    0
 23944,124954,19361027,  172,    0
 23944,124954,19361028,    0,    0
 23944,124954,19361029,   31,    0
 23944,124954,19361030,  116,    0
 23944,124954,19361031,  144,    0
 23944,124954,19361101,    6,    0
 23944,124954,19361102,    8,    0
 23944,124954,19361103,    0,    0
 23944,124954,19361104,    0,    0
 23944,124954,19361105,    0,    0
 23944,124954,19361106,    0,    0
 23944,124954,19361107,    0,    0
 23944,124954,19361108,    0,    0
 23944,124954,19361109,    0,    0
 23944,124954,19361110,   20,    0
 23944,124954,19361111,    0,    0
 23944,124954,19361112,    0,    0
 23944,124954,19361113,    6,    0
 23944,124954,19361114,    0,    0
 23944,124954,19361115,    0,    0
 23944,124954,19361116,    0,    0
 23944,124954,19361117,   14,    0
 23944,124954,19361118,    0,    0
 23944,124954,19361119,    0,    0
 23944,124954,19361120,    0,    0
 23944,124954,19361121,    0,    0
 23944,124954,19361122,    0,    0
 23944,124954,19361123,    0,    0
 23944,124954,19361124,    0,    0
 23944,124954,19361125,    0,    0
 23944,124954,19361126,    0,    0
 23944,124954,19361127,    0,    0
 23944,124954,19361128,    0,    0
 23944,124954,19361129,    0,    0
 23944,124954,19361130,   45,    0
 23944,124954,19361201,    0,    0
 23944,124954,19361202,    0,    0
 23944,124954,19361203,    0,    0
 23944,124954,19361204,    0,    0
 23944,124954,19361205,    0,    0
 23944,124954,19361206,    0,    0
 23944,124954,19361207,    0,    0
 23944,124954,19361208,    0,    0
 23944,124954,19361209,    0,    0
 23944,124954,19361210,    0,    0
 23944,124954,19361211,    0,    0
 23944,124954,19361212,    0,    0
 23944,124954,19361213,    0,    0
 23944,124954,19361214,    0,    0
 23944,124954,19361215,    0,    0
 23944,124954,19361216,    0,    0
 23944,124954,19361217,    0,    0
 23944,124954,19361218,    0,    0
 23944,124954,19361219,    0,    0
 23944,124954,19361220,    0,    0
 23944,124954,19361221,    0,    0
 23944,124954,19361222,    0,    0
 23944,124954,19361223,    0,    0
 23944,124954,19361224,    0,    0
 23944,124954,19361225,    0,    0
 23944,124954,19361226,    0,    0
 23944,124954,19361227,    0,    0
 23944,124954,19361228,    0,    0
 23944,124954,19361229,    0,    0
 23944,124954,19361230,    0,    0
 23944,124954,19361231,    0,    0
 23944,124954,19370101,    0,    0
 23944,124954,19370102,    0,    0
 23944,124954,19370103,    0,    0
 23944,124954,19370104,    0,    0
 23944,124954,19370105,    0,    0
 23944,124954,19370106,   42,    0
 23944,124954,19370107,   16,    0
 23944,124954,19370108,    0,    0
 23944,124954,19370109,    0,    0
 23944,124954,19370110,    0,    0
 23944,124954,19370111,    0,    0
 23944,124954,19370112,    0,    0
 23944,124954,19370113,    0,    0
 23944,124954,19370114,    0,    0
 23944,124954,19370115,    0,    0
 23944,124954,19370116,    0,    0
 23944,124954,19370117,    0,    0
 23944,124954,19370118,    0,    0
 23944,124954,19370119,    4,    0
 23944,124954,19370120,   14,    0
 23944,124954,19370121,    0,    0
 23944,124954,19370122,    0,    0
 23944,124954,19370123,    0,    0
 23944,124954,19370124,    0,    0
 23944,124954,19370125,    0,    0
 23944,124954,19370126,   42,    0
