EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LOBMING, AUSTRIA (STAID: 24262)
Blended and updated with sources:129023 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 24262,129023,19610101,   29,    0
 24262,129023,19610102,   42,    0
 24262,129023,19610103,    0,    0
 24262,129023,19610104,   29,    0
 24262,129023,19610105,    1,    0
 24262,129023,19610106,    0,    0
 24262,129023,19610107,    0,    0
 24262,129023,19610108,    0,    0
 24262,129023,19610109,   32,    0
 24262,129023,19610110,    0,    0
 24262,129023,19610111,   61,    0
 24262,129023,19610112,   10,    0
 24262,129023,19610113,    0,    0
 24262,129023,19610114,    0,    0
 24262,129023,19610115,    0,    0
 24262,129023,19610116,    0,    0
 24262,129023,19610117,    0,    0
 24262,129023,19610118,    0,    0
 24262,129023,19610119,    0,    0
 24262,129023,19610120,    0,    0
 24262,129023,19610121,    0,    0
 24262,129023,19610122,    0,    0
 24262,129023,19610123,    0,    0
 24262,129023,19610124,    2,    0
 24262,129023,19610125,    1,    0
 24262,129023,19610126,    3,    0
 24262,129023,19610127,    0,    0
 24262,129023,19610128,    0,    0
 24262,129023,19610129,    0,    0
 24262,129023,19610130,    0,    0
 24262,129023,19610131,    0,    0
 24262,129023,19610201,    9,    0
 24262,129023,19610202,    0,    0
 24262,129023,19610203,    0,    0
 24262,129023,19610204,    0,    0
 24262,129023,19610205,    0,    0
 24262,129023,19610206,    0,    0
 24262,129023,19610207,    4,    0
 24262,129023,19610208,    0,    0
 24262,129023,19610209,    0,    0
 24262,129023,19610210,    0,    0
 24262,129023,19610211,    0,    0
 24262,129023,19610212,   44,    0
 24262,129023,19610213,    0,    0
 24262,129023,19610214,    0,    0
 24262,129023,19610215,    0,    0
 24262,129023,19610216,    0,    0
 24262,129023,19610217,    0,    0
 24262,129023,19610218,    0,    0
 24262,129023,19610219,    0,    0
 24262,129023,19610220,   16,    0
 24262,129023,19610221,    8,    0
 24262,129023,19610222,    0,    0
 24262,129023,19610223,    0,    0
 24262,129023,19610224,    0,    0
 24262,129023,19610225,    0,    0
 24262,129023,19610226,    0,    0
 24262,129023,19610227,    0,    0
 24262,129023,19610228,   30,    0
 24262,129023,19610301,    7,    0
 24262,129023,19610302,    0,    0
 24262,129023,19610303,    0,    0
 24262,129023,19610304,    0,    0
 24262,129023,19610305,    0,    0
 24262,129023,19610306,    0,    0
 24262,129023,19610307,    0,    0
 24262,129023,19610308,    0,    0
 24262,129023,19610309,    0,    0
 24262,129023,19610310,    0,    0
 24262,129023,19610311,    0,    0
 24262,129023,19610312,    0,    0
 24262,129023,19610313,    0,    0
 24262,129023,19610314,    0,    0
 24262,129023,19610315,    0,    0
 24262,129023,19610316,    0,    0
 24262,129023,19610317,    0,    0
 24262,129023,19610318,   84,    0
 24262,129023,19610319,   60,    0
 24262,129023,19610320,    0,    0
 24262,129023,19610321,    0,    0
 24262,129023,19610322,    4,    0
 24262,129023,19610323,    0,    0
 24262,129023,19610324,    0,    0
 24262,129023,19610325,    0,    0
 24262,129023,19610326,    0,    0
 24262,129023,19610327,    0,    0
 24262,129023,19610328,    0,    0
 24262,129023,19610329,    0,    0
 24262,129023,19610330,    0,    0
 24262,129023,19610331,   12,    0
 24262,129023,19610401,    0,    0
 24262,129023,19610402,    1,    0
 24262,129023,19610403,   44,    0
 24262,129023,19610404,    3,    0
 24262,129023,19610405,    0,    0
 24262,129023,19610406,    0,    0
 24262,129023,19610407,    0,    0
 24262,129023,19610408,   26,    0
 24262,129023,19610409,   26,    0
 24262,129023,19610410,    0,    0
 24262,129023,19610411,    0,    0
 24262,129023,19610412,    0,    0
 24262,129023,19610413,    0,    0
 24262,129023,19610414,    0,    0
 24262,129023,19610415,    1,    0
 24262,129023,19610416,    0,    0
 24262,129023,19610417,    0,    0
 24262,129023,19610418,   29,    0
 24262,129023,19610419,   18,    0
 24262,129023,19610420,    0,    0
 24262,129023,19610421,   18,    0
 24262,129023,19610422,  256,    0
 24262,129023,19610423,   46,    0
 24262,129023,19610424,   52,    0
 24262,129023,19610425,    2,    0
 24262,129023,19610426,    3,    0
 24262,129023,19610427,    0,    0
 24262,129023,19610428,    0,    0
 24262,129023,19610429,  304,    0
 24262,129023,19610430,   38,    0
 24262,129023,19610501,    0,    0
 24262,129023,19610502,    0,    0
 24262,129023,19610503,   53,    0
 24262,129023,19610504,    3,    0
 24262,129023,19610505,    0,    0
 24262,129023,19610506,   46,    0
 24262,129023,19610507,   88,    0
 24262,129023,19610508,    5,    0
 24262,129023,19610509,    0,    0
 24262,129023,19610510,    0,    0
 24262,129023,19610511,    0,    0
 24262,129023,19610512,    0,    0
 24262,129023,19610513,    4,    0
 24262,129023,19610514,   75,    0
 24262,129023,19610515,  138,    0
 24262,129023,19610516,   36,    0
 24262,129023,19610517,    0,    0
 24262,129023,19610518,    0,    0
 24262,129023,19610519,    0,    0
 24262,129023,19610520,    0,    0
 24262,129023,19610521,   26,    0
 24262,129023,19610522,   23,    0
 24262,129023,19610523,    0,    0
 24262,129023,19610524,    1,    0
 24262,129023,19610525,    0,    0
 24262,129023,19610526,    1,    0
 24262,129023,19610527,   48,    0
 24262,129023,19610528,  128,    0
 24262,129023,19610529,  122,    0
 24262,129023,19610530,    0,    0
 24262,129023,19610531,    0,    0
 24262,129023,19610601,   13,    0
 24262,129023,19610602,   95,    0
 24262,129023,19610603,   12,    0
 24262,129023,19610604,    0,    0
 24262,129023,19610605,   31,    0
 24262,129023,19610606,  184,    0
 24262,129023,19610607,   68,    0
 24262,129023,19610608,   78,    0
 24262,129023,19610609,    0,    0
 24262,129023,19610610,  106,    0
 24262,129023,19610611,  141,    0
 24262,129023,19610612,   14,    0
 24262,129023,19610613,   18,    0
 24262,129023,19610614,    0,    0
 24262,129023,19610615,    2,    0
 24262,129023,19610616,    0,    0
 24262,129023,19610617,    0,    0
 24262,129023,19610618,    0,    0
 24262,129023,19610619,    0,    0
 24262,129023,19610620,    0,    0
 24262,129023,19610621,  126,    0
 24262,129023,19610622,   92,    0
 24262,129023,19610623,    0,    0
 24262,129023,19610624,    0,    0
 24262,129023,19610625,    0,    0
 24262,129023,19610626,    0,    0
 24262,129023,19610627,   52,    0
 24262,129023,19610628,    0,    0
 24262,129023,19610629,    0,    0
 24262,129023,19610630,    0,    0
 24262,129023,19610701,    0,    0
 24262,129023,19610702,    0,    0
 24262,129023,19610703,    0,    0
 24262,129023,19610704,  369,    0
 24262,129023,19610705,   16,    0
 24262,129023,19610706,    0,    0
 24262,129023,19610707,    0,    0
 24262,129023,19610708,    0,    0
 24262,129023,19610709,    0,    0
 24262,129023,19610710,   42,    0
 24262,129023,19610711,   41,    0
 24262,129023,19610712,    0,    0
 24262,129023,19610713,   98,    0
 24262,129023,19610714,    0,    0
 24262,129023,19610715,  132,    0
 24262,129023,19610716,  124,    0
 24262,129023,19610717,   27,    0
 24262,129023,19610718,    0,    0
 24262,129023,19610719,   18,    0
 24262,129023,19610720,   18,    0
 24262,129023,19610721,    2,    0
 24262,129023,19610722,   16,    0
 24262,129023,19610723,   40,    0
 24262,129023,19610724,    0,    0
 24262,129023,19610725,    0,    0
 24262,129023,19610726,    0,    0
 24262,129023,19610727,    0,    0
 24262,129023,19610728,  180,    0
 24262,129023,19610729,   12,    0
 24262,129023,19610730,    0,    0
 24262,129023,19610731,    0,    0
 24262,129023,19610801,    0,    0
 24262,129023,19610802,    6,    0
 24262,129023,19610803,    0,    0
 24262,129023,19610804,    0,    0
 24262,129023,19610805,    0,    0
 24262,129023,19610806,    0,    0
 24262,129023,19610807,    0,    0
 24262,129023,19610808,    0,    0
 24262,129023,19610809,    0,    0
 24262,129023,19610810,    0,    0
 24262,129023,19610811,    0,    0
 24262,129023,19610812,  143,    0
 24262,129023,19610813,    0,    0
 24262,129023,19610814,    0,    0
 24262,129023,19610815,  103,    0
 24262,129023,19610816,   80,    0
 24262,129023,19610817,    2,    0
 24262,129023,19610818,    0,    0
 24262,129023,19610819,   68,    0
 24262,129023,19610820,    2,    0
 24262,129023,19610821,    0,    0
 24262,129023,19610822,   89,    0
 24262,129023,19610823,    0,    0
 24262,129023,19610824,    5,    0
 24262,129023,19610825,    0,    0
 24262,129023,19610826,    0,    0
 24262,129023,19610827,    0,    0
 24262,129023,19610828,    0,    0
 24262,129023,19610829,    0,    0
 24262,129023,19610830,    0,    0
 24262,129023,19610831,    0,    0
 24262,129023,19610901,    0,    0
 24262,129023,19610902,    0,    0
 24262,129023,19610903,    0,    0
 24262,129023,19610904,    0,    0
 24262,129023,19610905,    0,    0
 24262,129023,19610906,    0,    0
 24262,129023,19610907,  197,    0
 24262,129023,19610908,    4,    0
 24262,129023,19610909,    0,    0
 24262,129023,19610910,    0,    0
 24262,129023,19610911,    0,    0
 24262,129023,19610912,   64,    0
 24262,129023,19610913,    0,    0
 24262,129023,19610914,   47,    0
 24262,129023,19610915,    0,    0
 24262,129023,19610916,    0,    0
 24262,129023,19610917,    0,    0
 24262,129023,19610918,    0,    0
 24262,129023,19610919,    0,    0
 24262,129023,19610920,    0,    0
 24262,129023,19610921,    0,    0
 24262,129023,19610922,    0,    0
 24262,129023,19610923,    0,    0
 24262,129023,19610924,    0,    0
 24262,129023,19610925,    0,    0
 24262,129023,19610926,    2,    0
 24262,129023,19610927,    0,    0
 24262,129023,19610928,    0,    0
 24262,129023,19610929,    0,    0
 24262,129023,19610930,    0,    0
 24262,129023,19611001,    0,    0
 24262,129023,19611002,    1,    0
 24262,129023,19611003,   35,    0
 24262,129023,19611004,    9,    0
