EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SCHOENBERGALM, AUSTRIA (STAID: 24535)
Blended and updated with sources:132559 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 24535,132559,19570101,    0,    1
 24535,132559,19570102,    0,    1
 24535,132559,19570103,    0,    1
 24535,132559,19570104,    0,    1
 24535,132559,19570105,    0,    1
 24535,132559,19570106,    0,    1
 24535,132559,19570107,    0,    1
 24535,132559,19570108,    0,    1
 24535,132559,19570109,    0,    1
 24535,132559,19570110,    0,    1
 24535,132559,19570111,    0,    1
 24535,132559,19570112,    0,    1
 24535,132559,19570113,    0,    1
 24535,132559,19570114,    0,    1
 24535,132559,19570115,    0,    1
 24535,132559,19570116,    0,    1
 24535,132559,19570117,    0,    1
 24535,132559,19570118,    0,    1
 24535,132559,19570119,    0,    1
 24535,132559,19570120,    0,    1
 24535,132559,19570121,    0,    1
 24535,132559,19570122,    0,    1
 24535,132559,19570123,    0,    1
 24535,132559,19570124,    0,    1
 24535,132559,19570125,    0,    1
 24535,132559,19570126,    0,    1
 24535,132559,19570127,    0,    1
 24535,132559,19570128,    0,    1
 24535,132559,19570129,    0,    1
 24535,132559,19570130,    0,    1
 24535,132559,19570131,    0,    1
 24535,132559,19570201,    0,    1
 24535,132559,19570202,    0,    1
 24535,132559,19570203,    0,    1
 24535,132559,19570204,    0,    1
 24535,132559,19570205,    0,    1
 24535,132559,19570206,    0,    1
 24535,132559,19570207,    0,    1
 24535,132559,19570208,    0,    1
 24535,132559,19570209,    0,    1
 24535,132559,19570210,    0,    1
 24535,132559,19570211,    0,    1
 24535,132559,19570212,    0,    1
 24535,132559,19570213,    0,    1
 24535,132559,19570214,    0,    1
 24535,132559,19570215,    0,    1
 24535,132559,19570216,    0,    1
 24535,132559,19570217,    0,    1
 24535,132559,19570218,    0,    1
 24535,132559,19570219,    0,    1
 24535,132559,19570220,    0,    1
 24535,132559,19570221,    0,    1
 24535,132559,19570222,    0,    1
 24535,132559,19570223,    0,    1
 24535,132559,19570224,    0,    1
 24535,132559,19570225,    0,    1
 24535,132559,19570226,    0,    1
 24535,132559,19570227,    0,    1
 24535,132559,19570228,    0,    1
 24535,132559,19570301,    0,    1
 24535,132559,19570302,    0,    1
 24535,132559,19570303,    0,    1
 24535,132559,19570304,    0,    1
 24535,132559,19570305,    0,    1
 24535,132559,19570306,    0,    1
 24535,132559,19570307,    0,    1
 24535,132559,19570308,    0,    1
 24535,132559,19570309,    0,    1
 24535,132559,19570310,    0,    1
 24535,132559,19570311,    0,    1
 24535,132559,19570312,    0,    1
 24535,132559,19570313,    0,    1
 24535,132559,19570314,    0,    1
 24535,132559,19570315,    0,    1
 24535,132559,19570316,    0,    1
 24535,132559,19570317,    0,    1
 24535,132559,19570318,    0,    1
 24535,132559,19570319,    0,    1
 24535,132559,19570320,    0,    1
 24535,132559,19570321,    0,    1
 24535,132559,19570322,    0,    1
 24535,132559,19570323,    0,    1
 24535,132559,19570324,    0,    1
 24535,132559,19570325,    0,    1
 24535,132559,19570326,    0,    1
 24535,132559,19570327,    0,    1
 24535,132559,19570328,    0,    1
 24535,132559,19570329,    0,    1
 24535,132559,19570330,    0,    1
 24535,132559,19570331,    0,    1
 24535,132559,19570401,    0,    1
 24535,132559,19570402,  139,    0
 24535,132559,19570403,   83,    0
 24535,132559,19570404,   72,    0
 24535,132559,19570405,   65,    0
 24535,132559,19570406,  175,    0
 24535,132559,19570407,  190,    0
 24535,132559,19570408,   36,    1
 24535,132559,19570409,    0,    1
 24535,132559,19570410,    0,    1
 24535,132559,19570411,  328,    0
 24535,132559,19570412,   92,    0
 24535,132559,19570413,   48,    0
 24535,132559,19570414,   86,    0
 24535,132559,19570415,   56,    1
 24535,132559,19570416,    0,    1
 24535,132559,19570417,    0,    1
 24535,132559,19570418,  206,    0
 24535,132559,19570419,  332,    0
 24535,132559,19570420,  108,    0
 24535,132559,19570421,   82,    1
 24535,132559,19570422,    0,    1
 24535,132559,19570423,    0,    1
 24535,132559,19570424,    0,    1
 24535,132559,19570425,    0,    1
 24535,132559,19570426,    0,    1
 24535,132559,19570427,    0,    1
 24535,132559,19570428,    0,    1
 24535,132559,19570429,    0,    1
 24535,132559,19570430,  182,    0
 24535,132559,19570501,  152,    1
 24535,132559,19570502,    0,    1
 24535,132559,19570503,    0,    1
 24535,132559,19570504,   28,    0
 24535,132559,19570505,   66,    0
 24535,132559,19570506,   48,    0
 24535,132559,19570507,   92,    1
 24535,132559,19570508,    0,    1
 24535,132559,19570509,    0,    1
 24535,132559,19570510,    0,    1
 24535,132559,19570511,    0,    1
 24535,132559,19570512,   11,    0
 24535,132559,19570513,   72,    1
