EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HAIMING, AUSTRIA (STAID: 24608)
Blended and updated with sources:128607 133495 135653 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 24608,135653,19471101,   13,    0
 24608,135653,19471102,    0,    0
 24608,135653,19471103,   74,    0
 24608,135653,19471104,    0,    0
 24608,135653,19471105,  186,    0
 24608,135653,19471106,    0,    0
 24608,135653,19471107,    0,    0
 24608,135653,19471108,   33,    0
 24608,135653,19471109,    0,    0
 24608,135653,19471110,  231,    0
 24608,135653,19471111,   52,    0
 24608,135653,19471112,    0,    0
 24608,135653,19471113,   50,    0
 24608,135653,19471114,  114,    0
 24608,135653,19471115,   87,    0
 24608,135653,19471116,   13,    0
 24608,135653,19471117,    0,    0
 24608,135653,19471118,  205,    0
 24608,135653,19471119,   58,    0
 24608,135653,19471120,    0,    0
 24608,135653,19471121,    0,    0
 24608,135653,19471122,    0,    0
 24608,135653,19471123,   91,    0
 24608,135653,19471124,   28,    0
 24608,135653,19471125,   83,    0
 24608,135653,19471126,    0,    0
 24608,135653,19471127,    0,    0
 24608,135653,19471128,    5,    0
 24608,135653,19471129,  115,    0
 24608,135653,19471130,   20,    0
 24608,135653,19471201,    0,    0
 24608,135653,19471202,    1,    0
 24608,135653,19471203,    0,    0
 24608,135653,19471204,    4,    0
 24608,135653,19471205,    0,    0
 24608,135653,19471206,    0,    0
 24608,135653,19471207,   36,    0
 24608,135653,19471208,   10,    0
 24608,135653,19471209,    0,    0
 24608,135653,19471210,    0,    0
 24608,135653,19471211,    0,    0
 24608,135653,19471212,    0,    0
 24608,135653,19471213,    0,    0
 24608,135653,19471214,    0,    0
 24608,135653,19471215,   10,    0
 24608,135653,19471216,    0,    0
 24608,135653,19471217,   36,    0
 24608,135653,19471218,    0,    0
 24608,135653,19471219,   37,    0
 24608,135653,19471220,   13,    0
 24608,135653,19471221,   78,    0
 24608,135653,19471222,    1,    0
 24608,135653,19471223,    0,    0
 24608,135653,19471224,    0,    0
 24608,135653,19471225,    0,    0
 24608,135653,19471226,   60,    0
 24608,135653,19471227,   70,    0
 24608,135653,19471228,   14,    0
 24608,135653,19471229,   35,    0
 24608,135653,19471230,    0,    0
 24608,135653,19471231,   12,    0
 24608,135653,19480101,   81,    0
 24608,135653,19480102,  276,    0
 24608,135653,19480103,   64,    0
 24608,135653,19480104,    0,    0
 24608,135653,19480105,    8,    0
 24608,135653,19480106,    0,    0
 24608,135653,19480107,   46,    0
 24608,135653,19480108,    0,    0
 24608,135653,19480109,    0,    0
 24608,135653,19480110,    0,    0
 24608,135653,19480111,    0,    0
 24608,135653,19480112,    0,    0
 24608,135653,19480113,    0,    0
 24608,135653,19480114,   82,    0
 24608,135653,19480115,  139,    0
 24608,135653,19480116,    0,    0
 24608,135653,19480117,    0,    0
 24608,135653,19480118,   10,    0
 24608,135653,19480119,    0,    0
 24608,135653,19480120,   49,    0
 24608,135653,19480121,    0,    0
