EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OZANSK, POLAND (STAID: 24986)
Blended and updated with sources:138283 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 24986,138283,19610101,    0,    1
 24986,138283,19610102,   12,    1
 24986,138283,19610103,    0,    1
 24986,138283,19610104,    0,    1
 24986,138283,19610105,   14,    1
 24986,138283,19610106,    0,    1
 24986,138283,19610107,    0,    1
 24986,138283,19610108,    0,    1
 24986,138283,19610109,    0,    1
 24986,138283,19610110,    0,    1
 24986,138283,19610111,    0,    1
 24986,138283,19610112,    0,    1
 24986,138283,19610113,    0,    1
 24986,138283,19610114,   16,    1
 24986,138283,19610115,    0,    1
 24986,138283,19610116,    0,    1
 24986,138283,19610117,    0,    1
 24986,138283,19610118,    0,    1
 24986,138283,19610119,    2,    1
 24986,138283,19610120,    0,    1
 24986,138283,19610121,    0,    1
 24986,138283,19610122,    0,    1
 24986,138283,19610123,    0,    1
 24986,138283,19610124,    0,    1
 24986,138283,19610125,    0,    1
 24986,138283,19610126,    0,    1
 24986,138283,19610127,    0,    1
 24986,138283,19610128,    0,    1
 24986,138283,19610129,    0,    1
 24986,138283,19610130,    0,    1
 24986,138283,19610131,    1,    0
 24986,138283,19610201,    1,    1
 24986,138283,19610202,    0,    1
 24986,138283,19610203,    0,    1
 24986,138283,19610204,    0,    1
 24986,138283,19610205,    0,    1
 24986,138283,19610206,    0,    1
 24986,138283,19610207,    0,    1
 24986,138283,19610208,    2,    0
 24986,138283,19610209,    1,    0
 24986,138283,19610210,   47,    0
 24986,138283,19610211,   32,    0
 24986,138283,19610212,   16,    0
 24986,138283,19610213,    3,    1
 24986,138283,19610214,    0,    1
 24986,138283,19610215,    0,    1
 24986,138283,19610216,    4,    0
 24986,138283,19610217,    2,    1
 24986,138283,19610218,    0,    1
 24986,138283,19610219,    0,    1
 24986,138283,19610220,    1,    1
 24986,138283,19610221,    0,    1
 24986,138283,19610222,    0,    1
 24986,138283,19610223,    0,    1
 24986,138283,19610224,    0,    1
 24986,138283,19610225,    0,    1
 24986,138283,19610226,    0,    1
 24986,138283,19610227,    0,    1
 24986,138283,19610228,   17,    1
 24986,138283,19610301,    0,    1
 24986,138283,19610302,    0,    1
 24986,138283,19610303,    0,    1
 24986,138283,19610304,    0,    1
 24986,138283,19610305,    0,    1
 24986,138283,19610306,    0,    1
 24986,138283,19610307,    0,    1
 24986,138283,19610308,    0,    1
 24986,138283,19610309,    0,    1
 24986,138283,19610310,    0,    1
 24986,138283,19610311,    0,    1
 24986,138283,19610312,   33,    1
 24986,138283,19610313,    0,    1
 24986,138283,19610314,    0,    1
 24986,138283,19610315,    0,    1
 24986,138283,19610316,   13,    1
 24986,138283,19610317,    0,    1
 24986,138283,19610318,    0,    1
 24986,138283,19610319,    5,    0
 24986,138283,19610320,    1,    0
 24986,138283,19610321,   17,    1
 24986,138283,19610322,    0,    1
 24986,138283,19610323,    0,    1
 24986,138283,19610324,    0,    1
 24986,138283,19610325,    0,    1
 24986,138283,19610326,    8,    0
 24986,138283,19610327,    1,    0
 24986,138283,19610328,    7,    0
 24986,138283,19610329,   21,    0
 24986,138283,19610330,   15,    0
 24986,138283,19610331,   45,    0
 24986,138283,19610401,   45,    0
 24986,138283,19610402,    2,    0
 24986,138283,19610403,   13,    0
 24986,138283,19610404,    1,    1
 24986,138283,19610405,    0,    1
 24986,138283,19610406,    0,    1
 24986,138283,19610407,    0,    1
 24986,138283,19610408,   44,    1
 24986,138283,19610409,    0,    1
 24986,138283,19610410,    0,    1
 24986,138283,19610411,    0,    1
 24986,138283,19610412,    0,    1
 24986,138283,19610413,    0,    1
 24986,138283,19610414,    0,    1
 24986,138283,19610415,    4,    0
 24986,138283,19610416,    5,    1
 24986,138283,19610417,    0,    1
 24986,138283,19610418,    0,    1
 24986,138283,19610419,    0,    1
 24986,138283,19610420,    0,    1
 24986,138283,19610421,    0,    1
 24986,138283,19610422,    0,    1
 24986,138283,19610423,    0,    1
 24986,138283,19610424,    0,    1
 24986,138283,19610425,    0,    1
 24986,138283,19610426,    0,    1
 24986,138283,19610427,    0,    1
 24986,138283,19610428,    0,    1
 24986,138283,19610429,    0,    1
 24986,138283,19610430,    0,    1
 24986,138283,19610501,    0,    1
 24986,138283,19610502,    0,    1
 24986,138283,19610503,    0,    1
 24986,138283,19610504,  107,    1
 24986,138283,19610505,    0,    1
 24986,138283,19610506,   57,    0
 24986,138283,19610507,   63,    0
 24986,138283,19610508,   15,    0
