EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TRZEBIECHOW, POLAND (STAID: 25034)
Blended and updated with sources:138859 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 25034,138859,19610101,    0,    1
 25034,138859,19610102,    0,    1
 25034,138859,19610103,    6,    1
 25034,138859,19610104,    0,    1
 25034,138859,19610105,   22,    1
 25034,138859,19610106,    0,    1
 25034,138859,19610107,   12,    0
 25034,138859,19610108,   23,    0
 25034,138859,19610109,   12,    1
 25034,138859,19610110,    0,    1
 25034,138859,19610111,   13,    1
 25034,138859,19610112,    0,    1
 25034,138859,19610113,   42,    0
 25034,138859,19610114,   83,    1
 25034,138859,19610115,    0,    1
 25034,138859,19610116,    0,    1
 25034,138859,19610117,    0,    1
 25034,138859,19610118,    0,    1
 25034,138859,19610119,    0,    1
 25034,138859,19610120,    0,    1
 25034,138859,19610121,    0,    1
 25034,138859,19610122,   78,    1
 25034,138859,19610123,    0,    1
 25034,138859,19610124,    0,    1
 25034,138859,19610125,    0,    1
 25034,138859,19610126,    0,    1
 25034,138859,19610127,    0,    1
 25034,138859,19610128,    0,    1
 25034,138859,19610129,    0,    1
 25034,138859,19610130,   12,    0
 25034,138859,19610131,   83,    1
 25034,138859,19610201,    0,    1
 25034,138859,19610202,    0,    1
 25034,138859,19610203,    0,    1
 25034,138859,19610204,    0,    1
 25034,138859,19610205,    0,    1
 25034,138859,19610206,    0,    1
 25034,138859,19610207,   22,    0
 25034,138859,19610208,   54,    0
 25034,138859,19610209,   34,    1
 25034,138859,19610210,    0,    1
 25034,138859,19610211,   28,    1
 25034,138859,19610212,    0,    1
 25034,138859,19610213,    0,    1
 25034,138859,19610214,    0,    1
 25034,138859,19610215,    0,    1
 25034,138859,19610216,    0,    1
 25034,138859,19610217,    0,    1
 25034,138859,19610218,    0,    1
 25034,138859,19610219,    0,    1
 25034,138859,19610220,    0,    1
 25034,138859,19610221,    0,    1
 25034,138859,19610222,    0,    1
 25034,138859,19610223,    0,    1
 25034,138859,19610224,    0,    1
 25034,138859,19610225,    0,    1
