EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WARSZAWA-BABICE, POLAND (STAID: 25055)
Blended and updated with sources:659 139087 139111 912375 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 25055,   659,19501201,-9999,    9
 25055,   659,19501202,-9999,    9
 25055,   659,19501203,-9999,    9
 25055,   659,19501204,-9999,    9
 25055,   659,19501205,-9999,    9
 25055,   659,19501206,-9999,    9
 25055,   659,19501207,-9999,    9
 25055,   659,19501208,-9999,    9
 25055,   659,19501209,-9999,    9
 25055,   659,19501210,-9999,    9
 25055,   659,19501211,-9999,    9
 25055,   659,19501212,-9999,    9
 25055,   659,19501213,-9999,    9
 25055,   659,19501214,-9999,    9
 25055,   659,19501215,-9999,    9
 25055,   659,19501216,-9999,    9
 25055,   659,19501217,-9999,    9
 25055,   659,19501218,-9999,    9
 25055,   659,19501219,-9999,    9
 25055,   659,19501220,-9999,    9
 25055,   659,19501221,-9999,    9
 25055,   659,19501222,-9999,    9
 25055,   659,19501223,-9999,    9
 25055,   659,19501224,-9999,    9
 25055,   659,19501225,-9999,    9
 25055,   659,19501226,-9999,    9
 25055,   659,19501227,-9999,    9
 25055,   659,19501228,-9999,    9
 25055,   659,19501229,-9999,    9
 25055,   659,19501230,-9999,    9
 25055,   659,19501231,-9999,    9
 25055,139087,19510101,    0,    0
 25055,139087,19510102,    0,    0
 25055,139087,19510103,    0,    0
 25055,139087,19510104,    0,    0
 25055,139087,19510105,   30,    0
 25055,139087,19510106,    0,    0
 25055,139087,19510107,   34,    0
 25055,139087,19510108,    0,    0
 25055,139087,19510109,    0,    0
 25055,139087,19510110,    0,    0
 25055,139087,19510111,    0,    0
 25055,139087,19510112,   10,    0
 25055,139087,19510113,   14,    0
 25055,139087,19510114,    0,    0
 25055,139087,19510115,   48,    0
 25055,139087,19510116,    0,    0
 25055,139087,19510117,   18,    0
 25055,139087,19510118,   18,    0
 25055,139087,19510119,  142,    0
 25055,139087,19510120,   21,    0
 25055,139087,19510121,   20,    0
 25055,139087,19510122,    0,    0
 25055,139087,19510123,    0,    0
 25055,139087,19510124,    0,    0
 25055,139087,19510125,    0,    0
 25055,139087,19510126,    0,    0
 25055,139087,19510127,    0,    0
 25055,139087,19510128,    0,    0
 25055,139087,19510129,    0,    0
 25055,139087,19510130,    0,    0
 25055,139087,19510131,    0,    0
 25055,139087,19510201,    0,    0
 25055,139087,19510202,    0,    0
 25055,139087,19510203,    0,    0
 25055,139087,19510204,    0,    0
 25055,139087,19510205,    0,    0
 25055,139087,19510206,    9,    0
 25055,139087,19510207,    0,    0
 25055,139087,19510208,    0,    0
 25055,139087,19510209,    0,    0
 25055,139087,19510210,    0,    0
 25055,139087,19510211,    0,    0
 25055,139087,19510212,    0,    0
 25055,139087,19510213,    0,    0
 25055,139087,19510214,    1,    0
 25055,139087,19510215,   13,    0
 25055,139087,19510216,    0,    0
 25055,139087,19510217,   13,    0
 25055,139087,19510218,   48,    0
 25055,139087,19510219,    0,    0
 25055,139087,19510220,   16,    0
 25055,139087,19510221,    3,    0
 25055,139087,19510222,    0,    0
 25055,139087,19510223,    0,    0
 25055,139087,19510224,    0,    0
 25055,139087,19510225,   86,    0
 25055,139087,19510226,   44,    0
 25055,139087,19510227,   42,    0
 25055,139087,19510228,   42,    0
 25055,139087,19510301,   12,    0
 25055,139087,19510302,    0,    0
 25055,139087,19510303,    0,    0
 25055,139087,19510304,    3,    0
 25055,139087,19510305,   38,    0
 25055,139087,19510306,   16,    0
 25055,139087,19510307,    0,    0
 25055,139087,19510308,    0,    0
 25055,139087,19510309,    0,    0
 25055,139087,19510310,    0,    0
 25055,139087,19510311,    0,    0
 25055,139087,19510312,    0,    0
 25055,139087,19510313,    0,    0
 25055,139087,19510314,    0,    0
 25055,139087,19510315,    0,    0
 25055,139087,19510316,    0,    0
 25055,139087,19510317,    8,    0
 25055,139087,19510318,   28,    0
 25055,139087,19510319,    0,    0
 25055,139087,19510320,    0,    0
 25055,139087,19510321,    0,    0
 25055,139087,19510322,    0,    0
 25055,139087,19510323,   64,    0
 25055,139087,19510324,    0,    0
 25055,139087,19510325,    0,    0
 25055,139087,19510326,    0,    0
 25055,139087,19510327,   26,    0
 25055,139087,19510328,   15,    0
 25055,139087,19510329,    0,    0
 25055,139087,19510330,    0,    0
 25055,139087,19510331,   53,    0
 25055,139087,19510401,  225,    0
 25055,139087,19510402,   68,    0
 25055,139087,19510403,    0,    0
 25055,139087,19510404,    0,    0
 25055,139087,19510405,    0,    0
 25055,139087,19510406,    0,    0
 25055,139087,19510407,    0,    0
 25055,139087,19510408,    0,    0
 25055,139087,19510409,   27,    0
 25055,139087,19510410,    0,    0
 25055,139087,19510411,    0,    0
 25055,139087,19510412,    0,    0
 25055,139087,19510413,    0,    0
 25055,139087,19510414,    0,    0
