EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SANDOMIERZ, POLAND (STAID: 25135)
Blended and updated with sources:140071 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 25135,140071,19510101,    0,    0
 25135,140071,19510102,    0,    0
 25135,140071,19510103,    0,    0
 25135,140071,19510104,   43,    0
 25135,140071,19510105,    3,    0
 25135,140071,19510106,    6,    0
 25135,140071,19510107,    9,    0
 25135,140071,19510108,    2,    0
 25135,140071,19510109,    0,    0
 25135,140071,19510110,    0,    0
 25135,140071,19510111,    0,    0
 25135,140071,19510112,    0,    0
 25135,140071,19510113,    9,    0
 25135,140071,19510114,    3,    0
 25135,140071,19510115,   11,    0
 25135,140071,19510116,    0,    0
 25135,140071,19510117,    3,    0
 25135,140071,19510118,   36,    0
 25135,140071,19510119,    7,    0
 25135,140071,19510120,   14,    0
 25135,140071,19510121,   16,    0
 25135,140071,19510122,    0,    0
 25135,140071,19510123,    0,    0
 25135,140071,19510124,    0,    0
 25135,140071,19510125,   24,    0
 25135,140071,19510126,    5,    0
 25135,140071,19510127,   41,    0
 25135,140071,19510128,    7,    0
 25135,140071,19510129,    0,    0
 25135,140071,19510130,    0,    0
 25135,140071,19510131,    0,    0
 25135,140071,19510201,    0,    0
 25135,140071,19510202,    0,    0
 25135,140071,19510203,    0,    0
 25135,140071,19510204,    0,    0
 25135,140071,19510205,    0,    0
 25135,140071,19510206,    4,    0
 25135,140071,19510207,    0,    0
 25135,140071,19510208,    0,    0
 25135,140071,19510209,    0,    0
 25135,140071,19510210,    0,    0
 25135,140071,19510211,    0,    0
 25135,140071,19510212,    0,    0
 25135,140071,19510213,    0,    0
 25135,140071,19510214,    0,    0
 25135,140071,19510215,   18,    0
 25135,140071,19510216,    0,    0
 25135,140071,19510217,    0,    0
 25135,140071,19510218,   30,    0
 25135,140071,19510219,    0,    0
 25135,140071,19510220,    7,    0
 25135,140071,19510221,   18,    0
 25135,140071,19510222,    3,    0
 25135,140071,19510223,    1,    0
 25135,140071,19510224,    3,    0
 25135,140071,19510225,   38,    0
 25135,140071,19510226,   94,    0
 25135,140071,19510227,   20,    0
 25135,140071,19510228,    2,    0
 25135,140071,19510301,    0,    0
 25135,140071,19510302,    0,    0
 25135,140071,19510303,   60,    0
 25135,140071,19510304,   12,    0
 25135,140071,19510305,   43,    0
 25135,140071,19510306,    7,    0
 25135,140071,19510307,    9,    0
 25135,140071,19510308,    4,    0
 25135,140071,19510309,    0,    0
 25135,140071,19510310,    0,    0
 25135,140071,19510311,    0,    0
 25135,140071,19510312,    0,    0
 25135,140071,19510313,    0,    0
 25135,140071,19510314,   49,    0
 25135,140071,19510315,   11,    0
 25135,140071,19510316,    0,    0
 25135,140071,19510317,   55,    0
 25135,140071,19510318,   70,    0
 25135,140071,19510319,   30,    0
 25135,140071,19510320,    0,    0
 25135,140071,19510321,    4,    0
 25135,140071,19510322,    0,    0
 25135,140071,19510323,   12,    0
 25135,140071,19510324,   54,    0
 25135,140071,19510325,   25,    0
 25135,140071,19510326,    2,    0
 25135,140071,19510327,   18,    0
 25135,140071,19510328,   15,    0
 25135,140071,19510329,   86,    0
 25135,140071,19510330,    0,    0
 25135,140071,19510331,   45,    0
 25135,140071,19510401,  144,    0
 25135,140071,19510402,   18,    0
 25135,140071,19510403,    0,    0
 25135,140071,19510404,    0,    0
 25135,140071,19510405,    0,    0
 25135,140071,19510406,    0,    0
 25135,140071,19510407,    0,    0
 25135,140071,19510408,    0,    0
 25135,140071,19510409,   30,    0
 25135,140071,19510410,   36,    0
 25135,140071,19510411,    0,    0
 25135,140071,19510412,    0,    0
 25135,140071,19510413,    0,    0
 25135,140071,19510414,    4,    0
 25135,140071,19510415,    0,    0
 25135,140071,19510416,    0,    0
 25135,140071,19510417,   35,    0
 25135,140071,19510418,    0,    0
 25135,140071,19510419,    9,    0
 25135,140071,19510420,    0,    0
 25135,140071,19510421,   38,    0
 25135,140071,19510422,    1,    0
 25135,140071,19510423,    0,    0
 25135,140071,19510424,    0,    0
 25135,140071,19510425,    0,    0
 25135,140071,19510426,    0,    0
 25135,140071,19510427,    6,    0
 25135,140071,19510428,    0,    0
 25135,140071,19510429,    0,    0
 25135,140071,19510430,    0,    0
 25135,140071,19510501,    0,    0
 25135,140071,19510502,    0,    0
 25135,140071,19510503,   36,    0
 25135,140071,19510504,    0,    0
 25135,140071,19510505,   18,    0
 25135,140071,19510506,   34,    0
 25135,140071,19510507,    7,    0
 25135,140071,19510508,  224,    0
 25135,140071,19510509,    1,    0
 25135,140071,19510510,  314,    0
 25135,140071,19510511,  129,    0
 25135,140071,19510512,    0,    0
 25135,140071,19510513,    0,    0
 25135,140071,19510514,    3,    0
 25135,140071,19510515,   50,    0
 25135,140071,19510516,   60,    0
 25135,140071,19510517,    2,    0
 25135,140071,19510518,    0,    0
 25135,140071,19510519,   99,    0
 25135,140071,19510520,    0,    0
 25135,140071,19510521,    4,    0
 25135,140071,19510522,    0,    0
 25135,140071,19510523,   37,    0
 25135,140071,19510524,   20,    0
 25135,140071,19510525,    0,    0
 25135,140071,19510526,    0,    0
 25135,140071,19510527,    0,    0
 25135,140071,19510528,  187,    0
 25135,140071,19510529,    0,    0
 25135,140071,19510530,    0,    0
 25135,140071,19510531,    0,    0
 25135,140071,19510601,    0,    0
 25135,140071,19510602,    0,    0
 25135,140071,19510603,   10,    0
 25135,140071,19510604,    2,    0
 25135,140071,19510605,    0,    0
 25135,140071,19510606,   14,    0
 25135,140071,19510607,    0,    0
 25135,140071,19510608,    0,    0
 25135,140071,19510609,    0,    0
 25135,140071,19510610,   59,    0
 25135,140071,19510611,   71,    0
 25135,140071,19510612,    0,    0
 25135,140071,19510613,    0,    0
 25135,140071,19510614,    0,    0
 25135,140071,19510615,    0,    0
 25135,140071,19510616,    2,    0
 25135,140071,19510617,    0,    0
 25135,140071,19510618,    0,    0
 25135,140071,19510619,    0,    0
 25135,140071,19510620,   41,    0
 25135,140071,19510621,    0,    0
 25135,140071,19510622,    0,    0
 25135,140071,19510623,    0,    0
 25135,140071,19510624,   65,    0
 25135,140071,19510625,  109,    0
 25135,140071,19510626,  143,    0
 25135,140071,19510627,   88,    0
 25135,140071,19510628,    6,    0
 25135,140071,19510629,  188,    0
 25135,140071,19510630,    0,    0
 25135,140071,19510701,    0,    0
 25135,140071,19510702,    0,    0
 25135,140071,19510703,    2,    0
 25135,140071,19510704,   22,    0
 25135,140071,19510705,    0,    0
 25135,140071,19510706,    0,    0
 25135,140071,19510707,    0,    0
 25135,140071,19510708,    0,    0
 25135,140071,19510709,    0,    0
 25135,140071,19510710,    0,    0
 25135,140071,19510711,    0,    0
 25135,140071,19510712,    0,    0
 25135,140071,19510713,   76,    0
 25135,140071,19510714,    0,    0
 25135,140071,19510715,    0,    0
 25135,140071,19510716,    0,    0
 25135,140071,19510717,    0,    0
 25135,140071,19510718,    0,    0
 25135,140071,19510719,    0,    0
 25135,140071,19510720,    7,    0
 25135,140071,19510721,   10,    0
 25135,140071,19510722,    3,    0
 25135,140071,19510723,    0,    0
 25135,140071,19510724,  176,    0
 25135,140071,19510725,    3,    0
 25135,140071,19510726,    8,    0
 25135,140071,19510727,   67,    0
 25135,140071,19510728,    0,    0
 25135,140071,19510729,    0,    0
 25135,140071,19510730,   43,    0
 25135,140071,19510731,    0,    0
 25135,140071,19510801,    0,    0
 25135,140071,19510802,    0,    0
 25135,140071,19510803,    0,    0
 25135,140071,19510804,    0,    0
 25135,140071,19510805,    0,    0
 25135,140071,19510806,   86,    0
 25135,140071,19510807,    0,    0
 25135,140071,19510808,    0,    0
 25135,140071,19510809,    0,    0
 25135,140071,19510810,    0,    0
 25135,140071,19510811,    0,    0
 25135,140071,19510812,    0,    0
 25135,140071,19510813,    0,    0
 25135,140071,19510814,  241,    0
 25135,140071,19510815,    0,    0
 25135,140071,19510816,    0,    0
 25135,140071,19510817,    0,    0
 25135,140071,19510818,    0,    0
 25135,140071,19510819,    1,    0
 25135,140071,19510820,    0,    0
 25135,140071,19510821,    0,    0
 25135,140071,19510822,    0,    0
 25135,140071,19510823,    0,    0
 25135,140071,19510824,    0,    0
 25135,140071,19510825,    0,    0
 25135,140071,19510826,    0,    0
 25135,140071,19510827,  190,    0
 25135,140071,19510828,    0,    0
 25135,140071,19510829,    0,    0
 25135,140071,19510830,    0,    0
 25135,140071,19510831,    0,    0
 25135,140071,19510901,   22,    0
 25135,140071,19510902,    0,    0
 25135,140071,19510903,    0,    0
 25135,140071,19510904,    0,    0
 25135,140071,19510905,    0,    0
 25135,140071,19510906,    0,    0
 25135,140071,19510907,    0,    0
 25135,140071,19510908,    8,    0
 25135,140071,19510909,    0,    0
 25135,140071,19510910,    0,    0
 25135,140071,19510911,    0,    0
 25135,140071,19510912,    0,    0
 25135,140071,19510913,  512,    0
 25135,140071,19510914,    0,    0
 25135,140071,19510915,    0,    0
 25135,140071,19510916,    0,    0
 25135,140071,19510917,   51,    0
 25135,140071,19510918,   13,    0
 25135,140071,19510919,    0,    0
 25135,140071,19510920,    0,    0
 25135,140071,19510921,   11,    0
 25135,140071,19510922,    4,    0
 25135,140071,19510923,    0,    0
 25135,140071,19510924,    0,    0
 25135,140071,19510925,    0,    0
 25135,140071,19510926,    0,    0
 25135,140071,19510927,    0,    0
 25135,140071,19510928,   11,    0
 25135,140071,19510929,    1,    0
 25135,140071,19510930,   22,    0
 25135,140071,19511001,    0,    0
 25135,140071,19511002,    0,    0
 25135,140071,19511003,    0,    0
 25135,140071,19511004,   13,    0
 25135,140071,19511005,    4,    0
 25135,140071,19511006,    0,    0
 25135,140071,19511007,    0,    0
 25135,140071,19511008,    0,    0
 25135,140071,19511009,    0,    0
 25135,140071,19511010,    6,    0
 25135,140071,19511011,    0,    0
 25135,140071,19511012,    0,    0
 25135,140071,19511013,    0,    0
 25135,140071,19511014,    0,    0
 25135,140071,19511015,    0,    0
 25135,140071,19511016,    0,    0
 25135,140071,19511017,    0,    0
 25135,140071,19511018,    0,    0
 25135,140071,19511019,    0,    0
 25135,140071,19511020,    0,    0
 25135,140071,19511021,    0,    0
 25135,140071,19511022,    0,    0
 25135,140071,19511023,    0,    0
 25135,140071,19511024,    0,    0
 25135,140071,19511025,    0,    0
 25135,140071,19511026,    0,    0
 25135,140071,19511027,    0,    0
 25135,140071,19511028,    0,    0
 25135,140071,19511029,    0,    0
 25135,140071,19511030,    0,    0
 25135,140071,19511031,    0,    0
 25135,140071,19511101,    0,    0
 25135,140071,19511102,   34,    0
 25135,140071,19511103,   22,    0
 25135,140071,19511104,   16,    0
 25135,140071,19511105,    0,    0
 25135,140071,19511106,    0,    0
 25135,140071,19511107,    0,    0
 25135,140071,19511108,    0,    0
 25135,140071,19511109,    0,    0
 25135,140071,19511110,    0,    0
 25135,140071,19511111,    0,    0
 25135,140071,19511112,   31,    0
 25135,140071,19511113,   10,    0
 25135,140071,19511114,    0,    0
 25135,140071,19511115,    6,    0
 25135,140071,19511116,    0,    0
 25135,140071,19511117,    0,    0
 25135,140071,19511118,    0,    0
 25135,140071,19511119,    0,    0
 25135,140071,19511120,    0,    0
 25135,140071,19511121,    0,    0
 25135,140071,19511122,    0,    0
 25135,140071,19511123,   58,    0
 25135,140071,19511124,    2,    0
 25135,140071,19511125,   79,    0
 25135,140071,19511126,    1,    0
 25135,140071,19511127,   11,    0
 25135,140071,19511128,   18,    0
 25135,140071,19511129,    8,    0
 25135,140071,19511130,   42,    0
 25135,140071,19511201,    0,    0
 25135,140071,19511202,    0,    0
 25135,140071,19511203,    0,    0
 25135,140071,19511204,   30,    0
 25135,140071,19511205,    0,    0
 25135,140071,19511206,    0,    0
 25135,140071,19511207,    0,    0
 25135,140071,19511208,    0,    0
 25135,140071,19511209,    3,    0
 25135,140071,19511210,    7,    0
 25135,140071,19511211,    2,    0
 25135,140071,19511212,    1,    0
 25135,140071,19511213,   41,    0
 25135,140071,19511214,    0,    0
 25135,140071,19511215,    0,    0
 25135,140071,19511216,    6,    0
 25135,140071,19511217,    0,    0
 25135,140071,19511218,    0,    0
 25135,140071,19511219,    0,    0
 25135,140071,19511220,    0,    0
 25135,140071,19511221,    0,    0
 25135,140071,19511222,    0,    0
 25135,140071,19511223,    0,    0
 25135,140071,19511224,    0,    0
 25135,140071,19511225,    0,    0
 25135,140071,19511226,    0,    0
 25135,140071,19511227,    0,    0
 25135,140071,19511228,    4,    0
 25135,140071,19511229,    0,    0
 25135,140071,19511230,    7,    0
 25135,140071,19511231,    1,    0
 25135,140071,19520101,    9,    0
 25135,140071,19520102,    0,    0
 25135,140071,19520103,    0,    0
 25135,140071,19520104,    0,    0
 25135,140071,19520105,   31,    0
 25135,140071,19520106,   21,    0
 25135,140071,19520107,    9,    0
 25135,140071,19520108,    4,    0
 25135,140071,19520109,    0,    0
 25135,140071,19520110,    3,    0
 25135,140071,19520111,   22,    0
 25135,140071,19520112,    0,    0
 25135,140071,19520113,    1,    0
 25135,140071,19520114,    2,    0
 25135,140071,19520115,    1,    0
 25135,140071,19520116,    5,    0
 25135,140071,19520117,    0,    0
 25135,140071,19520118,   13,    0
 25135,140071,19520119,    4,    0
