EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PLOCK, POLAND (STAID: 25141)
Blended and updated with sources:140143 912360 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 25141,140143,19510101,    0,    0
 25141,140143,19510102,    0,    0
 25141,140143,19510103,   42,    0
 25141,140143,19510104,    0,    0
 25141,140143,19510105,   16,    0
 25141,140143,19510106,    6,    0
 25141,140143,19510107,   41,    0
 25141,140143,19510108,    1,    0
 25141,140143,19510109,   16,    0
 25141,140143,19510110,    3,    0
 25141,140143,19510111,    0,    0
 25141,140143,19510112,    0,    0
 25141,140143,19510113,    0,    0
 25141,140143,19510114,    0,    0
 25141,140143,19510115,   39,    0
 25141,140143,19510116,    0,    0
 25141,140143,19510117,   14,    0
 25141,140143,19510118,   51,    0
 25141,140143,19510119,   32,    0
 25141,140143,19510120,   32,    0
 25141,140143,19510121,    2,    0
 25141,140143,19510122,    0,    0
 25141,140143,19510123,    0,    0
 25141,140143,19510124,    0,    0
 25141,140143,19510125,    0,    0
 25141,140143,19510126,    0,    0
 25141,140143,19510127,    4,    0
 25141,140143,19510128,    7,    0
 25141,140143,19510129,    0,    0
 25141,140143,19510130,    0,    0
 25141,140143,19510131,    0,    0
 25141,140143,19510201,    0,    0
 25141,140143,19510202,    0,    0
 25141,140143,19510203,    0,    0
 25141,140143,19510204,    0,    0
 25141,140143,19510205,    0,    0
 25141,140143,19510206,    1,    0
 25141,140143,19510207,    0,    0
 25141,140143,19510208,    0,    0
 25141,140143,19510209,    0,    0
 25141,140143,19510210,    0,    0
 25141,140143,19510211,    0,    0
 25141,140143,19510212,    0,    0
 25141,140143,19510213,    4,    0
 25141,140143,19510214,   25,    0
 25141,140143,19510215,   24,    0
 25141,140143,19510216,    5,    0
 25141,140143,19510217,   20,    0
 25141,140143,19510218,   26,    0
 25141,140143,19510219,    0,    0
 25141,140143,19510220,   30,    0
 25141,140143,19510221,    0,    0
 25141,140143,19510222,    0,    0
 25141,140143,19510223,    0,    0
 25141,140143,19510224,    0,    0
 25141,140143,19510225,   88,    0
 25141,140143,19510226,   12,    0
 25141,140143,19510227,   40,    0
 25141,140143,19510228,   10,    0
 25141,140143,19510301,    4,    0
 25141,140143,19510302,    6,    0
 25141,140143,19510303,    0,    0
 25141,140143,19510304,    0,    0
 25141,140143,19510305,   20,    0
 25141,140143,19510306,    2,    0
 25141,140143,19510307,    0,    0
 25141,140143,19510308,    0,    0
 25141,140143,19510309,    0,    0
 25141,140143,19510310,    0,    0
 25141,140143,19510311,    0,    0
 25141,140143,19510312,    5,    0
 25141,140143,19510313,    0,    0
 25141,140143,19510314,    5,    0
 25141,140143,19510315,    1,    0
 25141,140143,19510316,    1,    0
 25141,140143,19510317,   12,    0
 25141,140143,19510318,   28,    0
 25141,140143,19510319,   13,    0
 25141,140143,19510320,    0,    0
 25141,140143,19510321,    3,    0
 25141,140143,19510322,   40,    0
 25141,140143,19510323,  139,    0
 25141,140143,19510324,    0,    0
 25141,140143,19510325,    0,    0
 25141,140143,19510326,    0,    0
 25141,140143,19510327,   31,    0
 25141,140143,19510328,    0,    0
 25141,140143,19510329,    0,    0
 25141,140143,19510330,    0,    0
 25141,140143,19510331,    8,    0
 25141,140143,19510401,   96,    0
 25141,140143,19510402,    0,    0
 25141,140143,19510403,    0,    0
 25141,140143,19510404,    0,    0
 25141,140143,19510405,    0,    0
 25141,140143,19510406,    0,    0
 25141,140143,19510407,    0,    0
 25141,140143,19510408,   81,    0
 25141,140143,19510409,   63,    0
 25141,140143,19510410,    0,    0
 25141,140143,19510411,    0,    0
 25141,140143,19510412,    0,    0
 25141,140143,19510413,    0,    0
 25141,140143,19510414,    0,    0
 25141,140143,19510415,    0,    0
 25141,140143,19510416,    0,    0
 25141,140143,19510417,    4,    0
 25141,140143,19510418,    0,    0
 25141,140143,19510419,    3,    0
 25141,140143,19510420,    0,    0
 25141,140143,19510421,   18,    0
 25141,140143,19510422,    0,    0
 25141,140143,19510423,    0,    0
 25141,140143,19510424,    0,    0
 25141,140143,19510425,    0,    0
 25141,140143,19510426,    0,    0
 25141,140143,19510427,    0,    0
 25141,140143,19510428,   12,    0
 25141,140143,19510429,    5,    0
 25141,140143,19510430,   23,    0
 25141,140143,19510501,    0,    0
 25141,140143,19510502,    2,    0
 25141,140143,19510503,    0,    0
 25141,140143,19510504,    0,    0
 25141,140143,19510505,    0,    0
 25141,140143,19510506,    0,    0
 25141,140143,19510507,    2,    0
 25141,140143,19510508,    2,    0
 25141,140143,19510509,  181,    0
 25141,140143,19510510,    0,    0
 25141,140143,19510511,    0,    0
 25141,140143,19510512,    0,    0
 25141,140143,19510513,    0,    0
 25141,140143,19510514,    2,    0
 25141,140143,19510515,    1,    0
 25141,140143,19510516,    2,    0
 25141,140143,19510517,   12,    0
 25141,140143,19510518,    0,    0
 25141,140143,19510519,    0,    0
 25141,140143,19510520,    8,    0
 25141,140143,19510521,   18,    0
 25141,140143,19510522,    0,    0
 25141,140143,19510523,   33,    0
 25141,140143,19510524,    2,    0
 25141,140143,19510525,    0,    0
 25141,140143,19510526,    0,    0
 25141,140143,19510527,    0,    0
 25141,140143,19510528,    0,    0
 25141,140143,19510529,    0,    0
 25141,140143,19510530,    0,    0
 25141,140143,19510531,    0,    0
 25141,140143,19510601,    0,    0
 25141,140143,19510602,    0,    0
 25141,140143,19510603,    0,    0
 25141,140143,19510604,   20,    0
 25141,140143,19510605,   15,    0
 25141,140143,19510606,    0,    0
 25141,140143,19510607,    0,    0
 25141,140143,19510608,    0,    0
 25141,140143,19510609,    0,    0
 25141,140143,19510610,   20,    0
 25141,140143,19510611,    0,    0
 25141,140143,19510612,    0,    0
 25141,140143,19510613,    5,    0
 25141,140143,19510614,    0,    0
 25141,140143,19510615,    0,    0
 25141,140143,19510616,    0,    0
 25141,140143,19510617,    0,    0
 25141,140143,19510618,    4,    0
 25141,140143,19510619,    0,    0
 25141,140143,19510620,    0,    0
 25141,140143,19510621,    0,    0
 25141,140143,19510622,    0,    0
 25141,140143,19510623,    0,    0
 25141,140143,19510624,   77,    0
 25141,140143,19510625,    8,    0
 25141,140143,19510626,    7,    0
 25141,140143,19510627,    0,    0
 25141,140143,19510628,    0,    0
 25141,140143,19510629,    0,    0
 25141,140143,19510630,    0,    0
 25141,140143,19510701,    0,    0
 25141,140143,19510702,    0,    0
 25141,140143,19510703,    0,    0
 25141,140143,19510704,   96,    0
 25141,140143,19510705,    5,    0
 25141,140143,19510706,    7,    0
 25141,140143,19510707,    0,    0
 25141,140143,19510708,    0,    0
 25141,140143,19510709,  250,    0
 25141,140143,19510710,    1,    0
 25141,140143,19510711,    0,    0
 25141,140143,19510712,   66,    0
 25141,140143,19510713,   15,    0
 25141,140143,19510714,    0,    0
 25141,140143,19510715,   10,    0
 25141,140143,19510716,   56,    0
 25141,140143,19510717,    0,    0
 25141,140143,19510718,    0,    0
 25141,140143,19510719,    0,    0
 25141,140143,19510720,   75,    0
 25141,140143,19510721,    0,    0
 25141,140143,19510722,    0,    0
 25141,140143,19510723,    0,    0
 25141,140143,19510724,   50,    0
 25141,140143,19510725,  192,    0
 25141,140143,19510726,   36,    0
 25141,140143,19510727,    0,    0
 25141,140143,19510728,    0,    0
 25141,140143,19510729,    0,    0
 25141,140143,19510730,    0,    0
 25141,140143,19510731,    0,    0
 25141,140143,19510801,    0,    0
 25141,140143,19510802,    0,    0
 25141,140143,19510803,    0,    0
 25141,140143,19510804,    5,    0
 25141,140143,19510805,  132,    0
 25141,140143,19510806,   30,    0
 25141,140143,19510807,    0,    0
 25141,140143,19510808,   98,    0
 25141,140143,19510809,  164,    0
 25141,140143,19510810,    0,    0
 25141,140143,19510811,    0,    0
 25141,140143,19510812,    0,    0
 25141,140143,19510813,    0,    0
 25141,140143,19510814,   25,    0
 25141,140143,19510815,    0,    0
 25141,140143,19510816,    0,    0
 25141,140143,19510817,    0,    0
 25141,140143,19510818,    0,    0
 25141,140143,19510819,    0,    0
 25141,140143,19510820,    0,    0
 25141,140143,19510821,    0,    0
 25141,140143,19510822,    0,    0
 25141,140143,19510823,   68,    0
 25141,140143,19510824,    0,    0
 25141,140143,19510825,    0,    0
 25141,140143,19510826,    0,    0
 25141,140143,19510827,   80,    0
 25141,140143,19510828,    0,    0
 25141,140143,19510829,    0,    0
 25141,140143,19510830,    0,    0
 25141,140143,19510831,    0,    0
 25141,140143,19510901,    0,    0
